Dataset,Original_Pass@1,Updated_Pass@1,NumProblems,Delta_Pass@1
generations_all.prompts.full.label.d2c1570_concatenate_add,0.3825,0.3325,20,-0.0500
generations_all.prompts.full.label.d2c1570_concatenate_combine,0.4483,0.4086,29,-0.0397
generations_all.prompts.full.label.d2c1570_concatenate_concatenate,0.4920,0.5240,25,0.0320
generations_all.prompts.full.label.d2c1570_concatenate_splice,0.4468,0.4597,31,0.0129
generations_all.prompts.full.label.d2c1570_dictionary_dictionary,0.6750,0.6000,2,-0.0750
generations_all.prompts.full.label.d2c1570_dictionary_map,0.5538,0.4894,52,-0.0644
generations_all.prompts.full.label.d2c1570_insert_add,0.8400,0.7300,5,-0.1100
generations_all.prompts.full.label.d2c1570_insert_append,0.5240,0.4640,25,-0.0600
generations_all.prompts.full.label.d2c1570_insert_attach,0.5724,0.5690,29,-0.0034
generations_all.prompts.full.label.d2c1570_insert_insert,0.5724,0.5397,29,-0.0328
generations_all.prompts.full.label.d2c1570_integer_int,0.5635,0.5676,74,0.0041
generations_all.prompts.full.label.d2c1570_integer_integer,0.5000,0.5833,9,0.0833
generations_all.prompts.full.label.d2c1570_integer_whole_number,0.5461,0.5329,76,-0.0132
generations_all.prompts.full.label.d2c1570_key_attribute,0.5122,0.4720,41,-0.0402
generations_all.prompts.full.label.d2c1570_key_element,0.5122,0.4976,41,-0.0146
generations_all.prompts.full.label.d2c1570_key_entry,0.5122,0.5366,41,0.0244
generations_all.prompts.full.label.d2c1570_key_item,0.5122,0.5524,41,0.0402
generations_all.prompts.full.label.d2c1570_key_key,0.2250,0.2000,2,-0.0250
generations_all.prompts.full.label.d2c1570_key_part,0.5122,0.5159,41,0.0037
generations_all.prompts.full.label.d2c1570_key_variable,0.5122,0.5024,41,-0.0098
generations_all.prompts.full.label.d2c1570_list_array,0.5892,0.6088,222,0.0196
generations_all.prompts.full.label.d2c1570_list_array_list,0.5894,0.6273,227,0.0379
generations_all.prompts.full.label.d2c1570_list_brackets,0.5865,0.4895,229,-0.0969
generations_all.prompts.full.label.d2c1570_list_list,0.5583,0.5750,18,0.0167
generations_all.prompts.full.label.d2c1570_list_set,0.5865,0.3566,229,-0.2299
generations_all.prompts.full.label.d2c1570_list_set_of_brackets,0.5865,0.3644,229,-0.2221
generations_all.prompts.full.label.d2c1570_loop_through_execute_a_for_loop_with,0.5500,0.5227,22,-0.0273
generations_all.prompts.full.label.d2c1570_loop_through_go_through,0.5200,0.5700,20,0.0500
generations_all.prompts.full.label.d2c1570_loop_through_iterate_through,0.4944,0.4639,18,-0.0306
generations_all.prompts.full.label.d2c1570_loop_through_look_through,0.5400,0.5600,20,0.0200
generations_all.prompts.full.label.d2c1570_loop_through_loop_through,0.5861,0.5528,18,-0.0333
generations_all.prompts.full.label.d2c1570_loop_through_run_a_for_loop_through,0.5500,0.5045,22,-0.0455
generations_all.prompts.full.label.d2c1570_loop_through_run_through,0.5800,0.6150,20,0.0350
generations_all.prompts.full.label.d2c1570_parameter_argument,0.5700,0.5631,80,-0.0069
generations_all.prompts.full.label.d2c1570_parameter_input,0.5683,0.5733,30,0.0050
generations_all.prompts.full.label.d2c1570_parameter_parameter,0.5564,0.5621,70,0.0057
generations_all.prompts.full.label.d2c1570_parameter_value_provided,0.5793,0.5994,82,0.0201
generations_all.prompts.full.label.d2c1570_provide_enter,0.6500,0.7167,3,0.0667
generations_all.prompts.full.label.d2c1570_provide_input,0.8100,0.8400,5,0.0300
generations_all.prompts.full.label.d2c1570_provide_provide,0.7500,0.7437,8,-0.0063
generations_all.prompts.full.label.d2c1570_return_display,0.6017,0.4650,230,-0.1367
generations_all.prompts.full.label.d2c1570_return_output,0.6058,0.5920,207,-0.0138
generations_all.prompts.full.label.d2c1570_return_print,0.6009,0.2383,227,-0.3626
generations_all.prompts.full.label.d2c1570_return_produce,0.6011,0.5941,227,-0.0070
generations_all.prompts.full.label.d2c1570_return_return,0.5784,0.6014,37,0.0230
generations_all.prompts.full.label.d2c1570_skip_avoid,0.5500,0.5687,8,0.0187
generations_all.prompts.full.label.d2c1570_skip_ignore,nan,nan,0,nan
generations_all.prompts.full.label.d2c1570_skip_neglect,0.5500,0.5750,8,0.0250
generations_all.prompts.full.label.d2c1570_skip_remove,0.5500,0.3063,8,-0.2438
