Dataset,Original_Pass@1,Updated_Pass@1,NumProblems,Delta_Pass@1
generations_all.prompts.full.label.d2c1570_concatenate_add,0.7395,0.7065,20,-0.0330
generations_all.prompts.full.label.d2c1570_concatenate_combine,0.7911,0.7550,29,-0.0361
generations_all.prompts.full.label.d2c1570_concatenate_concatenate,0.7256,0.7503,25,0.0246
generations_all.prompts.full.label.d2c1570_concatenate_splice,0.8029,0.8044,31,0.0015
generations_all.prompts.full.label.d2c1570_dictionary_dictionary,0.6500,1.0000,2,0.3500
generations_all.prompts.full.label.d2c1570_dictionary_map,0.7882,0.7723,40,-0.0159
generations_all.prompts.full.label.d2c1570_insert_add,0.9100,0.8400,5,-0.0700
generations_all.prompts.full.label.d2c1570_insert_append,0.6538,0.7285,25,0.0746
generations_all.prompts.full.label.d2c1570_insert_attach,0.7016,0.6800,29,-0.0216
generations_all.prompts.full.label.d2c1570_insert_insert,0.7016,0.6932,29,-0.0083
generations_all.prompts.full.label.d2c1570_integer_int,0.7558,0.7564,56,0.0006
generations_all.prompts.full.label.d2c1570_integer_integer,0.9917,0.9833,6,-0.0083
generations_all.prompts.full.label.d2c1570_integer_whole_number,0.7642,0.7302,58,-0.0340
generations_all.prompts.full.label.d2c1570_key_attribute,0.8633,0.7031,41,-0.1602
generations_all.prompts.full.label.d2c1570_key_element,0.8633,0.7297,41,-0.1336
generations_all.prompts.full.label.d2c1570_key_entry,0.8633,0.7384,41,-0.1249
generations_all.prompts.full.label.d2c1570_key_item,0.8633,0.7442,41,-0.1191
generations_all.prompts.full.label.d2c1570_key_key,1.0000,1.0000,2,0.0000
generations_all.prompts.full.label.d2c1570_key_part,0.8633,0.7123,41,-0.1510
generations_all.prompts.full.label.d2c1570_key_variable,0.8633,0.7749,41,-0.0884
generations_all.prompts.full.label.d2c1570_list_array,0.8647,0.8561,47,-0.0086
generations_all.prompts.full.label.d2c1570_list_array_list,0.8675,0.8388,48,-0.0287
generations_all.prompts.full.label.d2c1570_list_brackets,0.8642,0.6900,45,-0.1742
generations_all.prompts.full.label.d2c1570_list_list,0.9833,0.9500,3,-0.0333
generations_all.prompts.full.label.d2c1570_list_set,0.8647,0.5573,47,-0.3074
generations_all.prompts.full.label.d2c1570_list_set_of_brackets,0.8545,0.5912,42,-0.2633
generations_all.prompts.full.label.d2c1570_loop_through_execute_a_for_loop_with,0.6916,0.6679,22,-0.0237
generations_all.prompts.full.label.d2c1570_loop_through_go_through,0.7607,0.7721,20,0.0114
generations_all.prompts.full.label.d2c1570_loop_through_iterate_through,0.7183,0.7193,18,0.0010
generations_all.prompts.full.label.d2c1570_loop_through_look_through,0.6607,0.6832,20,0.0225
generations_all.prompts.full.label.d2c1570_loop_through_loop_through,0.6786,0.6843,18,0.0057
generations_all.prompts.full.label.d2c1570_loop_through_run_a_for_loop_through,0.6916,0.6865,22,-0.0051
generations_all.prompts.full.label.d2c1570_loop_through_run_through,0.7107,0.7364,20,0.0256
generations_all.prompts.full.label.d2c1570_parameter_argument,0.7193,0.7380,61,0.0186
generations_all.prompts.full.label.d2c1570_parameter_input,0.6395,0.6743,19,0.0348
generations_all.prompts.full.label.d2c1570_parameter_parameter,0.6958,0.7194,53,0.0235
generations_all.prompts.full.label.d2c1570_parameter_value_provided,0.7146,0.7356,60,0.0209
generations_all.prompts.full.label.d2c1570_provide_enter,0.6667,0.6667,3,0.0000
generations_all.prompts.full.label.d2c1570_provide_input,0.9900,0.9158,5,-0.0742
generations_all.prompts.full.label.d2c1570_provide_provide,0.8688,0.8000,8,-0.0687
generations_all.prompts.full.label.d2c1570_return_display,0.8366,0.5068,51,-0.3299
generations_all.prompts.full.label.d2c1570_return_output,0.8323,0.8141,47,-0.0182
generations_all.prompts.full.label.d2c1570_return_print,0.8398,0.1244,52,-0.7154
generations_all.prompts.full.label.d2c1570_return_produce,0.8348,0.8401,50,0.0053
generations_all.prompts.full.label.d2c1570_return_return,0.9286,0.9429,7,0.0143
generations_all.prompts.full.label.d2c1570_skip_avoid,0.4250,0.5250,8,0.1000
generations_all.prompts.full.label.d2c1570_skip_ignore,nan,nan,0,nan
generations_all.prompts.full.label.d2c1570_skip_neglect,0.4250,0.4556,8,0.0306
generations_all.prompts.full.label.d2c1570_skip_remove,0.4250,0.4688,8,0.0437
generations_all.prompts.full.label.d2c1570_skip_skip,0.4250,0.5635,8,0.1385
generations_all.prompts.full.label.d2c1570_string_character,0.8224,0.6845,57,-0.1379
generations_all.prompts.full.label.d2c1570_string_phrase,0.8192,0.6730,56,-0.1462
generations_all.prompts.full.label.d2c1570_string_set_of_characters,0.8437,0.5665,52,-0.2773
generations_all.prompts.full.label.d2c1570_string_string,0.8618,0.8750,8,0.0132
generations_all.prompts.full.label.d2c1570_string_word,0.8109,0.7726,53,-0.0383
generations_all.prompts.full.label.d2c1570_take_accept,0.8003,0.7929,60,-0.0074
generations_all.prompts.full.label.d2c1570_take_bring_in,0.7898,0.7767,57,-0.0131
generations_all.prompts.full.label.d2c1570_take_get,0.8106,0.8110,58,0.0003
generations_all.prompts.full.label.d2c1570_take_input,0.8073,0.8096,57,0.0023
generations_all.prompts.full.label.d2c1570_take_take,0.7291,0.7348,28,0.0057
generations_all.prompts.full.label.d2c1570_typecast_cast,0.9344,0.9338,16,-0.0006
generations_all.prompts.full.label.d2c1570_typecast_change,0.9250,0.8500,14,-0.0750
generations_all.prompts.full.label.d2c1570_typecast_convert,0.9938,1.0000,8,0.0062
generations_all.prompts.full.label.d2c1570_typecast_type_cast,0.9344,0.9306,16,-0.0038
generations_all.prompts.full.label.d2c1570_typecast_typecast,0.9344,0.9338,16,-0.0006
