Dataset,Target_Orig_Word,Original_Pass@1,Updated_Pass@1,NumProblems,Delta_Pass@1
generations_all.prompts.full.label.d2c1570_concatenate_add,concatenate,0.2625,0.2812,8,0.0187
generations_all.prompts.full.label.d2c1570_concatenate_add,combine,0.5125,0.4500,4,-0.0625
generations_all.prompts.full.label.d2c1570_concatenate_add,splice,0.4500,0.1500,1,-0.3000
generations_all.prompts.full.label.d2c1570_concatenate_add,add,nan,nan,0,nan
generations_all.prompts.full.label.d2c1570_concatenate_combine,concatenate,0.2625,0.2812,8,0.0187
generations_all.prompts.full.label.d2c1570_concatenate_combine,combine,nan,nan,0,nan
generations_all.prompts.full.label.d2c1570_concatenate_combine,splice,0.4500,0.1500,1,-0.3000
generations_all.prompts.full.label.d2c1570_concatenate_combine,add,0.5692,0.5769,13,0.0077
generations_all.prompts.full.label.d2c1570_concatenate_concatenate,concatenate,nan,nan,0,nan
generations_all.prompts.full.label.d2c1570_concatenate_concatenate,combine,0.5125,0.5000,4,-0.0125
generations_all.prompts.full.label.d2c1570_concatenate_concatenate,splice,0.4500,0.6000,1,0.1500
generations_all.prompts.full.label.d2c1570_concatenate_concatenate,add,0.5692,0.6000,13,0.0308
generations_all.prompts.full.label.d2c1570_concatenate_splice,concatenate,0.2625,0.2875,8,0.0250
generations_all.prompts.full.label.d2c1570_concatenate_splice,combine,0.5125,0.4250,4,-0.0875
generations_all.prompts.full.label.d2c1570_concatenate_splice,splice,nan,nan,0,nan
generations_all.prompts.full.label.d2c1570_concatenate_splice,add,0.5692,0.5846,13,0.0154
generations_all.prompts.full.label.d2c1570_dictionary_dictionary,map,nan,nan,0,nan
generations_all.prompts.full.label.d2c1570_dictionary_dictionary,dictionary,nan,nan,0,nan
generations_all.prompts.full.label.d2c1570_dictionary_map,map,nan,nan,0,nan
generations_all.prompts.full.label.d2c1570_dictionary_map,dictionary,0.5490,0.4890,50,-0.0600
generations_all.prompts.full.label.d2c1570_insert_add,insert,nan,nan,0,nan
generations_all.prompts.full.label.d2c1570_insert_add,add,nan,nan,0,nan
generations_all.prompts.full.label.d2c1570_insert_add,append,0.8750,0.9000,4,0.0250
generations_all.prompts.full.label.d2c1570_insert_add,attach,nan,nan,0,nan
generations_all.prompts.full.label.d2c1570_insert_append,insert,nan,nan,0,nan
generations_all.prompts.full.label.d2c1570_insert_append,add,0.5474,0.5026,19,-0.0447
generations_all.prompts.full.label.d2c1570_insert_append,append,nan,nan,0,nan
generations_all.prompts.full.label.d2c1570_insert_append,attach,nan,nan,0,nan
generations_all.prompts.full.label.d2c1570_insert_attach,insert,nan,nan,0,nan
generations_all.prompts.full.label.d2c1570_insert_attach,add,0.5474,0.5553,19,0.0079
generations_all.prompts.full.label.d2c1570_insert_attach,append,0.8750,0.8750,4,0.0000
generations_all.prompts.full.label.d2c1570_insert_attach,attach,nan,nan,0,nan
generations_all.prompts.full.label.d2c1570_insert_insert,insert,nan,nan,0,nan
generations_all.prompts.full.label.d2c1570_insert_insert,add,0.5474,0.5447,19,-0.0026
generations_all.prompts.full.label.d2c1570_insert_insert,append,0.8750,0.8250,4,-0.0500
generations_all.prompts.full.label.d2c1570_insert_insert,attach,nan,nan,0,nan
generations_all.prompts.full.label.d2c1570_integer_int,integer,0.5613,0.5613,71,0.0000
generations_all.prompts.full.label.d2c1570_integer_int,whole number,0.6167,0.7167,3,0.1000
generations_all.prompts.full.label.d2c1570_integer_int,int,nan,nan,0,nan
generations_all.prompts.full.label.d2c1570_integer_integer,integer,nan,nan,0,nan
generations_all.prompts.full.label.d2c1570_integer_integer,whole number,0.6167,0.7667,3,0.1500
generations_all.prompts.full.label.d2c1570_integer_integer,int,0.3300,0.3900,5,0.0600
generations_all.prompts.full.label.d2c1570_integer_whole_number,integer,0.5613,0.5430,71,-0.0183
generations_all.prompts.full.label.d2c1570_integer_whole_number,whole number,nan,nan,0,nan
generations_all.prompts.full.label.d2c1570_integer_whole_number,int,0.3300,0.3900,5,0.0600
generations_all.prompts.full.label.d2c1570_key_attribute,key,0.5122,0.4720,41,-0.0402
generations_all.prompts.full.label.d2c1570_key_attribute,item,nan,nan,0,nan
generations_all.prompts.full.label.d2c1570_key_attribute,entry,nan,nan,0,nan
generations_all.prompts.full.label.d2c1570_key_attribute,attribute,nan,nan,0,nan
generations_all.prompts.full.label.d2c1570_key_attribute,part,nan,nan,0,nan
generations_all.prompts.full.label.d2c1570_key_attribute,element,nan,nan,0,nan
generations_all.prompts.full.label.d2c1570_key_attribute,variable,nan,nan,0,nan
generations_all.prompts.full.label.d2c1570_key_element,key,0.5122,0.4976,41,-0.0146
generations_all.prompts.full.label.d2c1570_key_element,item,nan,nan,0,nan
generations_all.prompts.full.label.d2c1570_key_element,entry,nan,nan,0,nan
generations_all.prompts.full.label.d2c1570_key_element,attribute,nan,nan,0,nan
generations_all.prompts.full.label.d2c1570_key_element,part,nan,nan,0,nan
generations_all.prompts.full.label.d2c1570_key_element,element,nan,nan,0,nan
generations_all.prompts.full.label.d2c1570_key_element,variable,nan,nan,0,nan
