Dataset,Original_Pass@1,Updated_Pass@1,NumProblems,Delta_Pass@1
generations_all.prompts.full.label.d2c1570_concatenate.add,0.5025,0.5043,20,0.0018
generations_all.prompts.full.label.d2c1570_concatenate.combine,0.4638,0.4586,29,-0.0052
generations_all.prompts.full.label.d2c1570_concatenate.concatenate,0.4800,0.4964,25,0.0164
generations_all.prompts.full.label.d2c1570_concatenate.splice,0.4565,0.4750,31,0.0185
generations_all.prompts.full.label.d2c1570_dictionary.dictionary,0.9000,0.9150,2,0.0150
generations_all.prompts.full.label.d2c1570_dictionary.map,0.4885,0.4276,52,-0.0609
generations_all.prompts.full.label.d2c1570_insert.add,0.8400,0.7930,5,-0.0470
generations_all.prompts.full.label.d2c1570_insert.append,0.5680,0.5536,25,-0.0144
generations_all.prompts.full.label.d2c1570_insert.attach,0.6086,0.5722,29,-0.0364
generations_all.prompts.full.label.d2c1570_insert.insert,0.6086,0.5698,29,-0.0388
generations_all.prompts.full.label.d2c1570_integer.int,0.4811,0.4900,74,0.0089
generations_all.prompts.full.label.d2c1570_integer.integer,0.5667,0.5644,9,-0.0022
generations_all.prompts.full.label.d2c1570_integer.whole_number,0.5026,0.4530,76,-0.0497
generations_all.prompts.full.label.d2c1570_key.attribute,0.4293,0.3613,41,-0.0679
generations_all.prompts.full.label.d2c1570_key.element,0.4293,0.3876,41,-0.0417
generations_all.prompts.full.label.d2c1570_key.entry,0.4293,0.3822,41,-0.0471
generations_all.prompts.full.label.d2c1570_key.item,0.4293,0.3927,41,-0.0366
generations_all.prompts.full.label.d2c1570_key.key,0.1500,0.2225,2,0.0725
generations_all.prompts.full.label.d2c1570_key.part,0.4293,0.3554,41,-0.0739
generations_all.prompts.full.label.d2c1570_key.variable,0.4293,0.3756,41,-0.0537
generations_all.prompts.full.label.d2c1570_list.array,0.5890,0.5990,222,0.0101
generations_all.prompts.full.label.d2c1570_list.array_list,0.5901,0.5947,227,0.0046
generations_all.prompts.full.label.d2c1570_list.brackets,0.5869,0.4342,229,-0.1527
generations_all.prompts.full.label.d2c1570_list.list,0.5389,0.5106,18,-0.0283
generations_all.prompts.full.label.d2c1570_list.set,0.5869,0.3492,229,-0.2377
generations_all.prompts.full.label.d2c1570_list.set_of_brackets,0.5869,0.3403,229,-0.2466
generations_all.prompts.full.label.d2c1570_loop_through.execute_a_for_loop_with,0.5750,0.5491,22,-0.0259
generations_all.prompts.full.label.d2c1570_loop_through.go_through,0.5575,0.5070,20,-0.0505
generations_all.prompts.full.label.d2c1570_loop_through.iterate_through,0.5333,0.5375,18,0.0042
generations_all.prompts.full.label.d2c1570_loop_through.look_through,0.5800,0.5657,20,-0.0142
generations_all.prompts.full.label.d2c1570_loop_through.loop_through,0.6250,0.6172,18,-0.0078
generations_all.prompts.full.label.d2c1570_loop_through.run_a_for_loop_through,0.5750,0.5530,22,-0.0220
generations_all.prompts.full.label.d2c1570_loop_through.run_through,0.5875,0.5658,20,-0.0217
generations_all.prompts.full.label.d2c1570_parameter.argument,0.5044,0.4912,80,-0.0132
generations_all.prompts.full.label.d2c1570_parameter.input,0.4967,0.5060,30,0.0093
generations_all.prompts.full.label.d2c1570_parameter.parameter,0.5029,0.4805,70,-0.0224
generations_all.prompts.full.label.d2c1570_parameter.value_provided,0.5128,0.4890,82,-0.0238
generations_all.prompts.full.label.d2c1570_provide.enter,0.6000,0.6367,3,0.0367
generations_all.prompts.full.label.d2c1570_provide.input,0.6200,0.6360,5,0.0160
generations_all.prompts.full.label.d2c1570_provide.provide,0.6125,0.7337,8,0.1212
generations_all.prompts.full.label.d2c1570_return.display,0.5959,0.4055,230,-0.1903
generations_all.prompts.full.label.d2c1570_return.output,0.5986,0.5452,207,-0.0533
generations_all.prompts.full.label.d2c1570_return.print,0.6002,0.2625,227,-0.3377
generations_all.prompts.full.label.d2c1570_return.produce,0.5952,0.5506,227,-0.0446
