,has_all_clues,problem,pass1,prompt
0,0,add_int,0.40499999999999997,3
1,1,add_int,0.53,2
2,0,add_up,0.10125,12
3,0,altText,0.005,3
4,1,altText,0.3166666666666667,3
5,0,assessVowels,0.0,1
6,1,assessVowels,0.66,7
7,0,changeSection,0.00375,4
8,1,changeSection,0.37375,4
9,0,check_prime,0.07714285714285715,7
10,0,combine,0.02,3
11,1,combine,0.61,2
12,0,convert,0.015625,8
13,1,convert,0.0,1
14,0,create_list,0.0,1
15,1,create_list,0.48600000000000004,5
16,0,fib,0.445,8
17,0,findHorizontals,0.044,5
18,0,find_multiples,0.37916666666666665,6
19,1,find_multiples,0.9933333333333333,3
20,1,generateCardDeck,0.702,5
21,0,generateCardDeck,0.13187500000000002,8
22,0,getSeason,0.14285714285714285,7
23,1,getSeason,0.46,2
24,0,increaseScore,0.6849999999999999,5
25,0,laugh,0.0,8
26,1,pattern,0.5750000000000001,3
27,0,pattern,0.0,3
28,1,percentWin,0.2833333333333333,6
29,0,percentWin,0.158,5
30,1,planets_mass,0.03,3
31,0,planets_mass,0.231,5
32,1,print_time,0.54,6
33,1,readingIceCream,0.96,3
34,0,readingIceCream,0.09857142857142857,7
35,0,remove_odd,0.0,8
36,1,remove_odd,0.2916666666666667,3
37,1,reverseWords,0.37699999999999995,5
38,0,reverseWords,0.77,1
39,0,set_chars,0.0,3
40,1,set_chars,0.68625,4
41,1,sortBySuccessRate,0.40499999999999997,5
42,0,sortBySuccessRate,0.17928571428571427,7
43,0,sort_physicists,0.5650000000000001,5
44,1,sort_physicists,0.8374999999999999,2
45,1,sortedBooks,0.202,5
46,0,sortedBooks,0.0,4
47,0,student_grades,0.01,6
48,1,subtract_add,0.6910000000000001,5
49,0,subtract_add,0.04,3
50,1,times_with,0.3625,2
51,0,times_with,0.04,9
52,0,topScores,0.0008333333333333334,6
53,1,topScores,0.23166666666666666,3
54,0,total_bill,0.198,10
55,1,total_bill,0.5233333333333333,3
56,0,translate,0.02875,4
57,1,translate,0.695,3
