prompt_id,problem,n_successes_intervened,pass1_intervened,intervention_category,intervention,original_word,n_successes_original,pass1_original,model
235,add_int,25,0.125,concatenate,add,append,67,0.335,llama3p1_8b_base
1461,generateCardDeck,0,0.0,concatenate,add,combine,0,0.0,llama3p1_8b_base
122,convert,199,0.995,concatenate,add,add,200,1.0,llama3p1_8b_base
198,convert,0,0.0,concatenate,add,combine,0,0.0,llama3p1_8b_base
201,convert,28,0.14,concatenate,add,combine,3,0.015,llama3p1_8b_base
203,convert,0,0.0,concatenate,add,add,0,0.0,llama3p1_8b_base
205,convert,0,0.0,concatenate,add,add,0,0.0,llama3p1_8b_base
237,add_int,22,0.11,concatenate,add,concatenate,45,0.225,llama3p1_8b_base
238,add_int,182,0.91,concatenate,add,append,152,0.76,llama3p1_8b_base
239,add_int,0,0.0,concatenate,add,concatenate,0,0.0,llama3p1_8b_base
240,add_int,6,0.03,concatenate,add,concatenate,8,0.04,llama3p1_8b_base
241,add_int,109,0.545,concatenate,add,append,162,0.81,llama3p1_8b_base
1583,percentWin,0,0.0,concatenate,add,concatenate,0,0.0,llama3p1_8b_base
244,add_int,0,0.0,concatenate,add,append,0,0.0,llama3p1_8b_base
245,add_int,49,0.245,concatenate,add,concatenate,48,0.24,llama3p1_8b_base
246,add_int,175,0.875,concatenate,add,concatenate,169,0.845,llama3p1_8b_base
247,add_int,200,1.0,concatenate,add,append,200,1.0,llama3p1_8b_base
252,add_int,153,0.765,concatenate,add,concatenate,190,0.95,llama3p1_8b_base
253,add_int,200,1.0,concatenate,add,concatenate,200,1.0,llama3p1_8b_base
254,add_int,20,0.1,concatenate,add,append,21,0.105,llama3p1_8b_base
544,mod_end,0,0.0,concatenate,add,add,0,0.0,llama3p1_8b_base
551,mod_end,0,0.0,concatenate,add,add,0,0.0,llama3p1_8b_base
559,mod_end,0,0.0,concatenate,add,add,4,0.02,llama3p1_8b_base
1747,laugh,0,0.0,concatenate,add,add,0,0.0,llama3p1_8b_base
579,increaseScore,153,0.765,concatenate,add,add,158,0.79,llama3p1_8b_base
906,changeSection,35,0.175,concatenate,add,concatenate,36,0.18,llama3p1_8b_base
907,changeSection,182,0.91,concatenate,add,add,191,0.955,llama3p1_8b_base
923,changeSection,0,0.0,concatenate,add,append,0,0.0,llama3p1_8b_base
924,changeSection,95,0.475,concatenate,add,concatenate,195,0.975,llama3p1_8b_base
929,changeSection,113,0.565,concatenate,add,add,108,0.54,llama3p1_8b_base
935,changeSection,1,0.005,concatenate,add,insert,4,0.02,llama3p1_8b_base
939,changeSection,1,0.005,concatenate,add,insert,0,0.0,llama3p1_8b_base
965,combine,56,0.28,concatenate,add,combine,44,0.22,llama3p1_8b_base
1030,reduce,200,1.0,concatenate,add,add,200,1.0,llama3p1_8b_base
255,add_int,33,0.165,concatenate,add,append,43,0.215,llama3p1_8b_base
1131,multisplit,0,0.0,concatenate,add,insert,0,0.0,llama3p1_8b_base
1360,translate,33,0.165,concatenate,add,append,14,0.07,llama3p1_8b_base
1362,translate,34,0.17,concatenate,add,append,23,0.115,llama3p1_8b_base
1467,generateCardDeck,0,0.0,concatenate,add,combine,0,0.0,llama3p1_8b_base
1468,generateCardDeck,0,0.0,concatenate,add,other,0,0.0,llama3p1_8b_base
1469,generateCardDeck,156,0.78,concatenate,add,other,157,0.785,llama3p1_8b_base
1470,generateCardDeck,0,0.0,concatenate,add,other,0,0.0,llama3p1_8b_base
1473,generateCardDeck,0,0.0,concatenate,add,concatenate,0,0.0,llama3p1_8b_base
1474,generateCardDeck,0,0.0,concatenate,add,combine,0,0.0,llama3p1_8b_base
1478,generateCardDeck,175,0.875,concatenate,add,combine,176,0.88,llama3p1_8b_base
560,mod_end,35,0.175,concatenate,add,append,27,0.135,llama3p1_8b_base
1479,generateCardDeck,0,0.0,concatenate,add,concatenate,0,0.0,llama3p1_8b_base
1482,generateCardDeck,0,0.0,concatenate,add,concatenate,0,0.0,llama3p1_8b_base
1483,generateCardDeck,200,1.0,concatenate,add,add,200,1.0,llama3p1_8b_base
1487,generateCardDeck,191,0.955,concatenate,add,add,181,0.905,llama3p1_8b_base
1501,generateCardDeck,0,0.0,concatenate,add,append,0,0.0,llama3p1_8b_base
1508,generateCardDeck,192,0.96,concatenate,add,append,199,0.995,llama3p1_8b_base
1512,generateCardDeck,100,0.5,concatenate,add,combine,78,0.39,llama3p1_8b_base
1535,generateCardDeck,0,0.0,concatenate,add,add,0,0.0,llama3p1_8b_base
1536,generateCardDeck,0,0.0,concatenate,add,concatenate,0,0.0,llama3p1_8b_base
1584,percentWin,1,0.005,concatenate,add,concatenate,15,0.075,llama3p1_8b_base
829,andCount,169,0.845,concatenate,add,concatenate,191,0.955,llama3p1_8b_base
1587,percentWin,39,0.195,concatenate,add,add,37,0.185,llama3p1_8b_base
1605,percentWin,54,0.27,concatenate,add,add,57,0.285,llama3p1_8b_base
1612,percentWin,141,0.705,concatenate,add,add,140,0.7,llama3p1_8b_base
1698,laugh,0,0.0,concatenate,add,add,0,0.0,llama3p1_8b_base
1738,laugh,0,0.0,concatenate,add,append,0,0.0,llama3p1_8b_base
1739,laugh,0,0.0,concatenate,add,add,0,0.0,llama3p1_8b_base
1741,laugh,0,0.0,concatenate,add,add,0,0.0,llama3p1_8b_base
985,combine,46,0.23,concatenate,add,combine,38,0.19,llama3p1_8b_base
1371,translate,0,0.0,concatenate,add,concatenate,0,0.0,llama3p1_8b_base
1539,generateCardDeck,0,0.0,concatenate,add,concatenate,0,0.0,llama3p1_8b_base
235,add_int,24,0.12,concatenate,combine,append,67,0.335,llama3p1_8b_base
1461,generateCardDeck,0,0.0,concatenate,combine,combine,0,0.0,llama3p1_8b_base
122,convert,195,0.975,concatenate,combine,add,200,1.0,llama3p1_8b_base
198,convert,0,0.0,concatenate,combine,combine,0,0.0,llama3p1_8b_base
201,convert,5,0.025,concatenate,combine,combine,3,0.015,llama3p1_8b_base
203,convert,0,0.0,concatenate,combine,add,0,0.0,llama3p1_8b_base
205,convert,0,0.0,concatenate,combine,add,0,0.0,llama3p1_8b_base
237,add_int,33,0.165,concatenate,combine,concatenate,45,0.225,llama3p1_8b_base
238,add_int,188,0.94,concatenate,combine,append,152,0.76,llama3p1_8b_base
239,add_int,13,0.065,concatenate,combine,concatenate,0,0.0,llama3p1_8b_base
240,add_int,11,0.055,concatenate,combine,concatenate,8,0.04,llama3p1_8b_base
241,add_int,128,0.64,concatenate,combine,append,162,0.81,llama3p1_8b_base
1583,percentWin,0,0.0,concatenate,combine,concatenate,0,0.0,llama3p1_8b_base
244,add_int,0,0.0,concatenate,combine,append,0,0.0,llama3p1_8b_base
245,add_int,42,0.21,concatenate,combine,concatenate,48,0.24,llama3p1_8b_base
