prompt_id,problem,n_successes_intervened,pass1_intervened,intervention_category,intervention,original_word,n_successes_original,pass1_original,model
235,add_int,15,0.7894736842105263,concatenate,add,append,11,0.8461538461538461,llama3p1_8b_base
235,add_int,17,1.0,concatenate,combine,append,11,0.8461538461538461,llama3p1_8b_base
235,add_int,13,1.0,concatenate,concatenate,append,11,0.8461538461538461,llama3p1_8b_base
235,add_int,17,1.0,concatenate,splice,append,11,0.8461538461538461,llama3p1_8b_base
235,add_int,10,0.7692307692307693,integer,int,integer,11,0.8461538461538461,llama3p1_8b_base
235,add_int,8,0.7272727272727273,integer,integer,integer,11,0.8461538461538461,llama3p1_8b_base
235,add_int,13,0.8666666666666667,integer,whole_number,integer,11,0.8461538461538461,llama3p1_8b_base
235,add_int,10,0.7692307692307693,list,array,list,11,0.8461538461538461,llama3p1_8b_base
235,add_int,12,0.7058823529411765,list,array_list,list,11,0.8461538461538461,llama3p1_8b_base
235,add_int,15,1.0,list,brackets,list,11,0.8461538461538461,llama3p1_8b_base
235,add_int,12,0.75,list,list,list,11,0.8461538461538461,llama3p1_8b_base
235,add_int,12,0.8,list,set,list,11,0.8461538461538461,llama3p1_8b_base
235,add_int,15,0.9375,list,set_of_brackets,list,11,0.8461538461538461,llama3p1_8b_base
235,add_int,7,0.3888888888888889,string,character,string,11,0.8461538461538461,llama3p1_8b_base
235,add_int,16,0.8888888888888888,string,phrase,string,11,0.8461538461538461,llama3p1_8b_base
235,add_int,0,0.0,string,set_of_characters,string,11,0.8461538461538461,llama3p1_8b_base
235,add_int,13,0.7647058823529411,string,string,string,11,0.8461538461538461,llama3p1_8b_base
235,add_int,17,0.8947368421052632,string,word,string,11,0.8461538461538461,llama3p1_8b_base
1461,generateCardDeck,0,0.0,concatenate,add,combine,0,0.0,llama3p1_8b_base
1461,generateCardDeck,0,0.0,concatenate,combine,combine,0,0.0,llama3p1_8b_base
1461,generateCardDeck,0,0.0,concatenate,concatenate,combine,0,0.0,llama3p1_8b_base
1461,generateCardDeck,0,0.0,concatenate,splice,combine,0,0.0,llama3p1_8b_base
1461,generateCardDeck,0,0.0,dictionary,dictionary,dictionary,0,0.0,llama3p1_8b_base
