Dataset,Original_Pass@1,Updated_Pass@1,NumProblems,Delta_Pass@1
generations_all.prompts.full.label.d2c1570_concatenate_add,0.2796,0.3020,49,0.0224
generations_all.prompts.full.label.d2c1570_concatenate_combine,0.2900,0.3000,60,0.0100
generations_all.prompts.full.label.d2c1570_concatenate_concatenate,0.2931,0.3098,51,0.0167
generations_all.prompts.full.label.d2c1570_concatenate_splice,0.2838,0.2862,65,0.0023
generations_all.prompts.full.label.d2c1570_dictionary_dictionary,0.2850,0.3300,10,0.0450
generations_all.prompts.full.label.d2c1570_dictionary_map,0.1934,0.1801,166,-0.0133
generations_all.prompts.full.label.d2c1570_insert_add,0.3275,0.3375,20,0.0100
generations_all.prompts.full.label.d2c1570_insert_append,0.2355,0.2459,86,0.0105
generations_all.prompts.full.label.d2c1570_insert_attach,0.2630,0.2500,96,-0.0130
generations_all.prompts.full.label.d2c1570_insert_insert,0.2745,0.2886,92,0.0141
generations_all.prompts.full.label.d2c1570_integer_int,0.2482,0.2527,165,0.0045
generations_all.prompts.full.label.d2c1570_integer_integer,0.2050,0.2000,30,-0.0050
generations_all.prompts.full.label.d2c1570_integer_whole_number,0.2549,0.2340,175,-0.0209
generations_all.prompts.full.label.d2c1570_key_attribute,0.1860,0.1562,129,-0.0298
generations_all.prompts.full.label.d2c1570_key_element,0.1875,0.1672,128,-0.0203
generations_all.prompts.full.label.d2c1570_key_entry,0.1867,0.1703,128,-0.0164
generations_all.prompts.full.label.d2c1570_key_item,0.1819,0.1705,127,-0.0114
generations_all.prompts.full.label.d2c1570_key_key,0.1240,0.1880,25,0.0640
generations_all.prompts.full.label.d2c1570_key_part,0.1860,0.1690,129,-0.0171
generations_all.prompts.full.label.d2c1570_key_variable,0.1916,0.1620,125,-0.0296
generations_all.prompts.full.label.d2c1570_list_array,0.2893,0.2917,548,0.0024
generations_all.prompts.full.label.d2c1570_list_array_list,0.2885,0.2948,572,0.0064
generations_all.prompts.full.label.d2c1570_list_brackets,0.2860,0.2085,577,-0.0776
