Dataset,Original_Pass@1,Updated_Pass@1,NumProblems,Delta_Pass@1
generations_all.prompts.full.label.d2c1570_concatenate_add,0.5025,0.5375,20,0.0350
generations_all.prompts.full.label.d2c1570_concatenate_combine,0.4638,0.4828,29,0.0190
generations_all.prompts.full.label.d2c1570_concatenate_concatenate,0.4800,0.5100,25,0.0300
generations_all.prompts.full.label.d2c1570_concatenate_splice,0.4565,0.4694,31,0.0129
generations_all.prompts.full.label.d2c1570_dictionary_dictionary,0.9000,0.9250,2,0.0250
generations_all.prompts.full.label.d2c1570_dictionary_map,0.4885,0.4413,52,-0.0471
generations_all.prompts.full.label.d2c1570_insert_add,0.8400,0.8800,5,0.0400
generations_all.prompts.full.label.d2c1570_insert_append,0.5680,0.5520,25,-0.0160
generations_all.prompts.full.label.d2c1570_insert_attach,0.6086,0.5621,29,-0.0466
generations_all.prompts.full.label.d2c1570_insert_insert,0.6086,0.5759,29,-0.0328
generations_all.prompts.full.label.d2c1570_integer_int,0.4811,0.4892,74,0.0081
generations_all.prompts.full.label.d2c1570_integer_integer,0.5667,0.5556,9,-0.0111
generations_all.prompts.full.label.d2c1570_integer_whole_number,0.5026,0.4566,76,-0.0461
generations_all.prompts.full.label.d2c1570_key_attribute,0.4293,0.3659,41,-0.0634
generations_all.prompts.full.label.d2c1570_key_element,0.4293,0.3683,41,-0.0610
generations_all.prompts.full.label.d2c1570_key_entry,0.4293,0.3902,41,-0.0390
generations_all.prompts.full.label.d2c1570_key_item,0.4293,0.4049,41,-0.0244
generations_all.prompts.full.label.d2c1570_key_key,0.1500,0.2250,2,0.0750
generations_all.prompts.full.label.d2c1570_key_part,0.4293,0.3841,41,-0.0451
generations_all.prompts.full.label.d2c1570_key_variable,0.4293,0.3695,41,-0.0598
generations_all.prompts.full.label.d2c1570_list_array,0.5890,0.5912,222,0.0023
generations_all.prompts.full.label.d2c1570_list_array_list,0.5901,0.5956,227,0.0055
generations_all.prompts.full.label.d2c1570_list_brackets,0.5869,0.4371,229,-0.1498
generations_all.prompts.full.label.d2c1570_list_list,0.5389,0.5194,18,-0.0194
generations_all.prompts.full.label.d2c1570_list_set,0.5869,0.3522,229,-0.2347
generations_all.prompts.full.label.d2c1570_list_set_of_brackets,0.5869,0.3393,229,-0.2476
generations_all.prompts.full.label.d2c1570_loop_through_execute_a_for_loop_with,0.5750,0.5500,22,-0.0250
generations_all.prompts.full.label.d2c1570_loop_through_go_through,0.5575,0.5150,20,-0.0425
generations_all.prompts.full.label.d2c1570_loop_through_iterate_through,0.5333,0.5389,18,0.0056
generations_all.prompts.full.label.d2c1570_loop_through_look_through,0.5800,0.5850,20,0.0050
generations_all.prompts.full.label.d2c1570_loop_through_loop_through,0.6250,0.6361,18,0.0111
generations_all.prompts.full.label.d2c1570_loop_through_run_a_for_loop_through,0.5750,0.5614,22,-0.0136
generations_all.prompts.full.label.d2c1570_loop_through_run_through,0.5875,0.5700,20,-0.0175
generations_all.prompts.full.label.d2c1570_parameter_argument,0.5044,0.4881,80,-0.0162
generations_all.prompts.full.label.d2c1570_parameter_input,0.4967,0.5067,30,0.0100
generations_all.prompts.full.label.d2c1570_parameter_parameter,0.5029,0.4829,70,-0.0200
generations_all.prompts.full.label.d2c1570_parameter_value_provided,0.5128,0.5000,82,-0.0128
generations_all.prompts.full.label.d2c1570_provide_enter,0.6000,0.6500,3,0.0500
generations_all.prompts.full.label.d2c1570_provide_input,0.6200,0.6200,5,0.0000
generations_all.prompts.full.label.d2c1570_provide_provide,0.6125,0.7437,8,0.1312
generations_all.prompts.full.label.d2c1570_return_display,0.5959,0.3998,230,-0.1961
generations_all.prompts.full.label.d2c1570_return_output,0.5986,0.5379,207,-0.0606
generations_all.prompts.full.label.d2c1570_return_print,0.6002,0.2599,227,-0.3403
generations_all.prompts.full.label.d2c1570_return_produce,0.5952,0.5485,227,-0.0467
generations_all.prompts.full.label.d2c1570_return_return,0.5284,0.5770,37,0.0486
generations_all.prompts.full.label.d2c1570_skip_avoid,0.4938,0.4500,8,-0.0438
generations_all.prompts.full.label.d2c1570_skip_ignore,nan,nan,0,nan
generations_all.prompts.full.label.d2c1570_skip_neglect,0.4938,0.5062,8,0.0125
generations_all.prompts.full.label.d2c1570_skip_remove,0.4938,0.2812,8,-0.2125
generations_all.prompts.full.label.d2c1570_skip_skip,0.4938,0.4437,8,-0.0500
generations_all.prompts.full.label.d2c1570_string_character,0.5305,0.4025,159,-0.1280
generations_all.prompts.full.label.d2c1570_string_phrase,0.5305,0.4550,159,-0.0755
generations_all.prompts.full.label.d2c1570_string_set_of_characters,0.5305,0.3723,159,-0.1582
generations_all.prompts.full.label.d2c1570_string_string,0.4571,0.4667,21,0.0095
generations_all.prompts.full.label.d2c1570_string_word,0.5423,0.4782,149,-0.0641
generations_all.prompts.full.label.d2c1570_take_accept,0.5781,0.5699,98,-0.0082
generations_all.prompts.full.label.d2c1570_take_bring_in,0.5835,0.6072,97,0.0237
generations_all.prompts.full.label.d2c1570_take_get,0.5813,0.5967,91,0.0154
generations_all.prompts.full.label.d2c1570_take_input,0.5885,0.5958,96,0.0073
generations_all.prompts.full.label.d2c1570_take_take,0.4809,0.4723,47,-0.0085
generations_all.prompts.full.label.d2c1570_typecast_cast,0.4187,0.3187,16,-0.1000
generations_all.prompts.full.label.d2c1570_typecast_change,0.5357,0.4571,14,-0.0786
generations_all.prompts.full.label.d2c1570_typecast_convert,0.2500,0.3187,8,0.0688
generations_all.prompts.full.label.d2c1570_typecast_type_cast,0.4375,0.4344,16,-0.0031
generations_all.prompts.full.label.d2c1570_typecast_typecast,0.4688,0.4281,16,-0.0406
