Dataset,Original_Pass@1,Updated_Pass@1,NumProblems,Delta_Pass@1
generations_all.prompts.full.label.d2c1570_concatenate_add,0.5498,0.4950,49,-0.0549
generations_all.prompts.full.label.d2c1570_concatenate_combine,0.6264,0.5986,60,-0.0278
generations_all.prompts.full.label.d2c1570_concatenate_concatenate,0.5870,0.5992,51,0.0122
generations_all.prompts.full.label.d2c1570_concatenate_splice,0.6236,0.6132,65,-0.0104
generations_all.prompts.full.label.d2c1570_dictionary_dictionary,0.2375,0.3750,8,0.1375
generations_all.prompts.full.label.d2c1570_dictionary_map,0.3732,0.3659,126,-0.0073
generations_all.prompts.full.label.d2c1570_insert_add,0.4025,0.4100,20,0.0075
generations_all.prompts.full.label.d2c1570_insert_append,0.2693,0.2999,86,0.0306
generations_all.prompts.full.label.d2c1570_insert_attach,0.3038,0.3105,96,0.0068
generations_all.prompts.full.label.d2c1570_insert_insert,0.3007,0.3044,92,0.0037
generations_all.prompts.full.label.d2c1570_integer_int,0.4716,0.4795,136,0.0079
generations_all.prompts.full.label.d2c1570_integer_integer,0.4788,0.4576,22,-0.0212
generations_all.prompts.full.label.d2c1570_integer_whole_number,0.5016,0.4921,141,-0.0095
generations_all.prompts.full.label.d2c1570_key_attribute,0.3976,0.3188,124,-0.0787
generations_all.prompts.full.label.d2c1570_key_element,0.4071,0.3521,126,-0.0550
generations_all.prompts.full.label.d2c1570_key_entry,0.4071,0.3561,126,-0.0510
generations_all.prompts.full.label.d2c1570_key_item,0.4004,0.3508,125,-0.0496
generations_all.prompts.full.label.d2c1570_key_key,0.2573,0.3359,25,0.0786
generations_all.prompts.full.label.d2c1570_key_part,0.4024,0.3409,125,-0.0614
generations_all.prompts.full.label.d2c1570_key_variable,0.4119,0.3537,123,-0.0583
generations_all.prompts.full.label.d2c1570_list_array,0.4712,0.4602,136,-0.0110
generations_all.prompts.full.label.d2c1570_list_array_list,0.4601,0.4590,139,-0.0012
generations_all.prompts.full.label.d2c1570_list_brackets,0.4561,0.3731,132,-0.0830
generations_all.prompts.full.label.d2c1570_list_list,0.4466,0.4528,18,0.0062
generations_all.prompts.full.label.d2c1570_list_set,0.4596,0.2956,137,-0.1639
generations_all.prompts.full.label.d2c1570_list_set_of_brackets,0.4391,0.3134,128,-0.1257
generations_all.prompts.full.label.d2c1570_loop_through_execute_a_for_loop_with,0.4349,0.4289,63,-0.0060
generations_all.prompts.full.label.d2c1570_loop_through_go_through,0.4566,0.4475,60,-0.0091
generations_all.prompts.full.label.d2c1570_loop_through_iterate_through,0.4982,0.4916,50,-0.0066
generations_all.prompts.full.label.d2c1570_loop_through_look_through,0.4163,0.4175,61,0.0011
generations_all.prompts.full.label.d2c1570_loop_through_loop_through,0.4178,0.4114,56,-0.0064
generations_all.prompts.full.label.d2c1570_loop_through_run_a_for_loop_through,0.4349,0.4265,63,-0.0083
generations_all.prompts.full.label.d2c1570_loop_through_run_through,0.4252,0.4284,58,0.0031
generations_all.prompts.full.label.d2c1570_parameter_argument,0.5396,0.5374,146,-0.0021
generations_all.prompts.full.label.d2c1570_parameter_input,0.5362,0.5414,47,0.0052
generations_all.prompts.full.label.d2c1570_parameter_parameter,0.5080,0.5074,127,-0.0006
generations_all.prompts.full.label.d2c1570_parameter_value_provided,0.5369,0.5431,143,0.0062
generations_all.prompts.full.label.d2c1570_provide_enter,0.5045,0.5364,11,0.0318
generations_all.prompts.full.label.d2c1570_provide_input,0.3344,0.3053,15,-0.0292
generations_all.prompts.full.label.d2c1570_provide_provide,0.4403,0.4493,24,0.0090
generations_all.prompts.full.label.d2c1570_return_display,0.4726,0.2996,148,-0.1730
generations_all.prompts.full.label.d2c1570_return_output,0.4774,0.4897,135,0.0122
generations_all.prompts.full.label.d2c1570_return_print,0.4923,0.0823,144,-0.4101
generations_all.prompts.full.label.d2c1570_return_produce,0.4691,0.4772,145,0.0081
generations_all.prompts.full.label.d2c1570_return_return,0.3708,0.4099,31,0.0392
generations_all.prompts.full.label.d2c1570_skip_avoid,0.1889,0.2333,18,0.0444
generations_all.prompts.full.label.d2c1570_skip_ignore,0.3467,0.2133,5,-0.1333
generations_all.prompts.full.label.d2c1570_skip_neglect,0.2702,0.2482,19,-0.0220
generations_all.prompts.full.label.d2c1570_skip_remove,0.2702,0.2839,19,0.0137
generations_all.prompts.full.label.d2c1570_skip_skip,0.2702,0.2899,19,0.0197
generations_all.prompts.full.label.d2c1570_string_character,0.5615,0.4554,132,-0.1062
generations_all.prompts.full.label.d2c1570_string_phrase,0.5582,0.4924,131,-0.0658
generations_all.prompts.full.label.d2c1570_string_set_of_characters,0.5565,0.3519,126,-0.2046
generations_all.prompts.full.label.d2c1570_string_string,0.5229,0.5353,17,0.0124
generations_all.prompts.full.label.d2c1570_string_word,0.5451,0.5262,127,-0.0189
generations_all.prompts.full.label.d2c1570_take_accept,0.5390,0.5401,147,0.0011
generations_all.prompts.full.label.d2c1570_take_bring_in,0.5294,0.5045,144,-0.0249
generations_all.prompts.full.label.d2c1570_take_get,0.5420,0.5394,143,-0.0026
generations_all.prompts.full.label.d2c1570_take_input,0.5336,0.5295,141,-0.0040
generations_all.prompts.full.label.d2c1570_take_take,0.5150,0.5218,68,0.0068
generations_all.prompts.full.label.d2c1570_typecast_cast,0.5166,0.5683,36,0.0517
generations_all.prompts.full.label.d2c1570_typecast_change,0.4742,0.4664,35,-0.0078
generations_all.prompts.full.label.d2c1570_typecast_convert,0.6661,0.7143,14,0.0482
generations_all.prompts.full.label.d2c1570_typecast_type_cast,0.5166,0.5745,36,0.0579
generations_all.prompts.full.label.d2c1570_typecast_typecast,0.5026,0.5608,37,0.0582
