,has_all_clues,problem,pass1,prompt
0,0,add_int,1.0,3
1,1,add_int,0.95,2
2,0,add_up,0.13076923076923078,13
3,0,altText,0.3333333333333333,3
4,1,altText,0.9833333333333334,3
5,0,assessVowels,0.0,1
6,1,assessVowels,1.0,7
7,0,changeSection,0.6,5
8,1,changeSection,0.75,4
9,0,check_prime,0.5714285714285714,7
10,0,combine,0.08333333333333333,3
11,1,combine,1.0,2
12,0,convert,0.4875,8
13,1,convert,1.0,1
14,0,create_list,0.95,1
15,1,create_list,1.0,5
16,0,fib,1.0,8
17,0,findHorizontals,0.175,8
18,0,find_multiples,0.6333333333333333,6
19,1,find_multiples,1.0,3
20,1,generateCardDeck,0.24,5
21,0,generateCardDeck,0.0,8
22,0,getSeason,0.2857142857142857,7
23,1,getSeason,1.0,2
24,0,increaseScore,0.7,5
25,0,laugh,0.38125,8
26,1,pattern,0.6666666666666666,3
27,0,pattern,0.3333333333333333,3
28,1,percentWin,0.9833333333333334,6
29,0,percentWin,0.62,5
30,1,planets_mass,1.0,3
31,0,planets_mass,0.4,5
32,1,print_time,0.5833333333333334,6
33,1,readingIceCream,1.0,3
34,0,readingIceCream,0.34375,8
35,0,remove_odd,0.25625,8
36,1,remove_odd,1.0,3
37,1,reverseWords,0.8,5
38,0,reverseWords,0.5,2
39,0,set_chars,0.0,3
40,1,set_chars,0.7625,4
41,1,sortBySuccessRate,0.73,5
42,0,sortBySuccessRate,0.15625,8
43,0,sort_physicists,0.5499999999999999,6
44,1,sort_physicists,1.0,2
45,1,sortedBooks,1.0,5
46,0,sortedBooks,0.0,5
47,0,student_grades,0.17499999999999996,6
48,1,subtract_add,0.99,5
49,0,subtract_add,0.3333333333333333,3
50,1,times_with,0.825,2
51,0,times_with,0.19444444444444445,9
52,0,topScores,0.0,7
53,1,topScores,1.0,3
54,0,total_bill,0.595,10
55,1,total_bill,0.6666666666666666,3
56,0,translate,0.25,4
57,1,translate,1.0,3
