,problem,success_clues,username,state,clues,has_final_rewrite,has_final_trivial,has_final_l,has_final_m,has_all_clues,has_leq_half_clues,is_missing_clues,is_success,is_fail
8,generateCardDeck,"[1, 2, 3, 4, 5]",student63,success,"[2, 3, 5, 1, 4]",False,False,False,False,True,False,False,True,False
13,fib,"[1, 2, 3, 4, 5, 6]",student8,success,"[1, 2, 3]",False,False,False,False,False,True,True,True,False
14,fib,"[1, 2, 3, 4, 5, 6]",student11,success,[5],True,False,False,True,False,True,True,True,False
16,fib,"[1, 2, 3, 4, 5, 6]",student16,success,"[2, 5]",False,False,False,False,False,True,True,True,False
17,fib,"[1, 2, 3, 4, 5, 6]",student22,success,"[2, 5]",True,False,False,True,False,True,True,True,False
18,fib,"[1, 2, 3, 4, 5, 6]",student37,success,"[1, 2, 4, 6]",False,False,False,False,False,False,True,True,False
19,fib,"[1, 2, 3, 4, 5, 6]",student2,success,"[2, 5]",True,False,False,True,False,True,True,True,False
20,fib,"[1, 2, 3, 4, 5, 6]",student5,success,"[2, 5]",True,False,False,True,False,True,True,True,False
22,pattern,"[1, 2, 3, 4, 5]",student4,success,"[1, 2, 3, 4, 5]",True,False,False,True,True,False,False,True,False
23,pattern,"[1, 2, 3, 4, 5]",student17,success,"[3, 4]",False,False,False,False,False,True,True,True,False
24,pattern,"[1, 2, 3, 4, 5]",student25,success,"[1, 2, 3, 4, 5]",True,False,False,True,True,False,False,True,False
28,total_bill,"[1, 2, 3, 4, 5, 6, 7, 8]",student33,success,"[1, 2, 3, 4, 5, 6, 7, 8]",False,False,False,False,True,False,False,True,False
30,total_bill,"[1, 2, 3, 4, 5, 6, 7, 8]",student40,success,"[2, 4, 5, 6, 7, 8, 1]",False,False,False,False,False,False,True,True,False
31,total_bill,"[1, 2, 3, 4, 5, 6, 7, 8]",student44,success,"[2, 4, 5, 7]",False,False,False,False,False,True,True,True,False
32,total_bill,"[1, 2, 3, 4, 5, 6, 7, 8]",student50,success,"[1, 2, 4, 5, 6, 7, 3]",False,False,False,False,False,False,True,True,False
34,total_bill,"[1, 2, 3, 4, 5, 6, 7, 8]",student60,success,"[1, 2, 3, 6, 7, 8]",False,False,False,False,False,False,True,True,False
35,total_bill,"[1, 2, 3, 4, 5, 6, 7, 8]",student63,success,"[1, 2, 3, 4, 5, 6, 7, 8]",False,False,False,False,True,False,False,True,False
36,total_bill,"[1, 2, 3, 4, 5, 6, 7, 8]",student64,success,"[2, 4, 5, 6, 7]",False,False,False,False,False,False,True,True,False
39,total_bill,"[1, 2, 3, 4, 5, 6, 7, 8]",student79,success,"[1, 3, 4, 5, 6, 7, 2]",False,False,False,False,False,False,True,True,False
50,student_grades,"[1, 2, 3, 4]",student16,success,"[2, 3, 4]",True,False,False,True,False,False,True,True,False
55,convert,"[1, 2, 3, 4, 5]",student10,success,"[1, 2, 4, 5]",True,False,False,True,False,False,True,True,False
56,convert,"[1, 2, 3, 4, 5]",student17,success,"[2, 3, 4, 1, 5]",True,False,False,True,True,False,False,True,False
57,convert,"[1, 2, 3, 4, 5]",student21,success,"[2, 3, 4, 5, 1]",True,False,False,True,True,False,False,True,False
58,convert,"[1, 2, 3, 4, 5]",student25,success,"[2, 4]",True,False,True,False,False,True,True,True,False
61,convert,"[1, 2, 3, 4, 5]",student41,success,"[2, 3, 4]",True,False,False,True,False,False,True,True,False
62,convert,"[1, 2, 3, 4, 5]",student51,success,"[2, 3, 4, 5, 5]",False,False,False,False,False,False,True,True,False
66,sortBySuccessRate,"[1, 2, 3, 4, 5, 6]",student40,success,"[1, 2, 3, 4, 5, 6]",False,False,False,False,True,False,False,True,False
71,sortBySuccessRate,"[1, 2, 3, 4, 5, 6]",student63,success,"[1, 2, 3, 4, 5, 6]",False,False,False,False,True,False,False,True,False
72,sortBySuccessRate,"[1, 2, 3, 4, 5, 6]",student64,success,"[1, 2, 3, 4, 5, 6, 6]",False,False,False,False,True,False,False,True,False
73,sortBySuccessRate,"[1, 2, 3, 4, 5, 6]",student69,success,"[1, 2, 3, 4, 6]",True,True,False,False,False,False,True,True,False
75,sortBySuccessRate,"[1, 2, 3, 4, 5, 6]",student79,success,"[1, 2, 3, 4, 5, 6]",True,True,False,False,True,False,False,True,False
80,laugh,"[1, 2, 3, 4, 5, 6, 7]",student13,success,"[2, 3, 5, 6]",True,True,False,False,False,False,True,True,False
82,laugh,"[1, 2, 3, 4, 5, 6, 7]",student37,success,"[1, 2, 3, 4, 5, 6]",False,False,False,False,False,False,True,True,False
83,laugh,"[1, 2, 3, 4, 5, 6, 7]",student72,success,"[1, 2, 3, 5, 6]",False,False,False,False,False,False,True,True,False
88,times_with,"[1, 2, 3, 4, 5]",student59,success,"[1, 2, 3, 5]",True,False,False,True,False,False,True,True,False
89,times_with,"[1, 2, 3, 4, 5]",student60,success,"[1, 2, 3, 4, 5]",False,False,False,False,True,False,False,True,False
92,times_with,"[1, 2, 3, 4, 5]",student69,success,"[1, 2, 3, 4, 1]",False,False,False,False,False,False,True,True,False
95,readingIceCream,"[1, 2, 3, 4, 5, 6, 7]",student27,success,"[1, 2, 3, 4, 5, 6, 7]",False,False,False,False,True,False,False,True,False
97,readingIceCream,"[1, 2, 3, 4, 5, 6, 7]",student32,success,"[2, 3, 4, 6, 7]",True,True,False,False,False,False,True,True,False
100,readingIceCream,"[1, 2, 3, 4, 5, 6, 7]",student62,success,"[2, 3, 5, 6, 7]",False,False,False,False,False,False,True,True,False
101,readingIceCream,"[1, 2, 3, 4, 5, 6, 7]",student66,success,"[2, 4, 5, 6, 7]",False,False,False,False,False,False,True,True,False
103,readingIceCream,"[1, 2, 3, 4, 5, 6, 7]",student68,success,"[1, 2, 3, 4, 5, 6, 7]",False,False,False,False,True,False,False,True,False
104,readingIceCream,"[1, 2, 3, 4, 5, 6, 7]",student70,success,"[1, 2, 3, 4, 5, 6, 7]",True,False,False,True,True,False,False,True,False
129,remove_odd,"[1, 2, 3, 4]",student0,success,"[1, 2, 3, 4]",True,False,False,True,True,False,False,True,False
131,remove_odd,"[1, 2, 3, 4]",student4,success,"[2, 3, 4]",True,True,False,False,False,False,True,True,False
134,remove_odd,"[1, 2, 3, 4]",student18,success,"[2, 3, 1, 4]",True,True,False,False,True,False,False,True,False
135,remove_odd,"[1, 2, 3, 4]",student21,success,"[2, 3]",True,True,False,False,False,True,True,True,False
136,remove_odd,"[1, 2, 3, 4]",student25,success,"[1, 2, 3, 4]",True,True,False,False,True,False,False,True,False
138,remove_odd,"[1, 2, 3, 4]",student41,success,"[1, 2, 3, 4]",True,False,False,True,True,False,False,True,False
140,remove_odd,"[1, 2, 3, 4]",student51,success,"[2, 3, 4]",True,False,False,True,False,False,True,True,False
141,subtract_add,"[1, 2, 3, 4, 5]",student68,success,"[1, 2, 3, 4, 5]",True,True,False,False,True,False,False,True,False
142,subtract_add,"[1, 2, 3, 4, 5]",student27,success,"[1, 2, 3, 4, 5]",False,False,False,False,True,False,False,True,False
143,subtract_add,"[1, 2, 3, 4, 5]",student29,success,"[1, 2, 3, 4, 5]",True,True,False,False,True,False,False,True,False
145,subtract_add,"[1, 2, 3, 4, 5]",student49,success,"[1, 2, 3, 4, 5]",False,False,False,False,True,False,False,True,False
146,subtract_add,"[1, 2, 3, 4, 5]",student62,success,"[2, 3, 4, 5]",True,True,False,False,False,False,True,True,False
147,subtract_add,"[1, 2, 3, 4, 5]",student66,success,"[1, 2, 3, 4, 5]",True,True,False,False,True,False,False,True,False
157,altText,"[1, 2, 3, 4]",student23,success,"[1, 2, 3, 4]",False,False,False,False,True,False,False,True,False
158,altText,"[1, 2, 3, 4]",student35,success,"[1, 2, 3, 4]",True,False,False,True,True,False,False,True,False
161,altText,"[1, 2, 3, 4]",student63,success,"[1, 2, 3, 4]",True,True,False,False,True,False,False,True,False
162,altText,"[1, 2, 3, 4]",student75,success,"[1, 2, 3]",True,False,False,True,False,False,True,True,False
173,topScores,"[1, 2, 3, 4, 5, 6]",student31,success,"[1, 2, 3, 4, 5, 6]",False,False,False,False,True,False,False,True,False
175,topScores,"[1, 2, 3, 4, 5, 6]",student53,success,"[1, 2, 3, 4, 5, 6]",True,False,True,False,True,False,False,True,False
176,topScores,"[1, 2, 3, 4, 5, 6]",student55,success,"[1, 2, 3, 4, 5, 6]",False,False,False,False,True,False,False,True,False
178,sort_physicists,"[1, 2, 3, 4, 5, 6]",student12,success,"[1, 3, 4, 5, 6]",True,False,False,True,False,False,True,True,False
