,problem,success_clues,username,state,clues,has_final_rewrite,has_final_trivial,has_final_l,has_final_m,has_all_clues,has_leq_half_clues,is_missing_clues,is_success,is_fail
1,generateCardDeck,"[1, 2, 3, 4, 5]",student33,success,"[1, 2, 3, 3, 5, 4]",False,False,False,False,True,False,False,True,False
3,generateCardDeck,"[1, 2, 3, 4, 5]",student40,success,"[1, 2, 3, 4, 5]",True,False,False,True,True,False,False,True,False
5,generateCardDeck,"[1, 2, 3, 4, 5]",student50,success,"[1, 2, 3, 4, 5]",True,True,False,False,True,False,False,True,False
7,generateCardDeck,"[1, 2, 3, 4, 5]",student60,success,"[1, 2, 3, 4, 5]",True,False,True,False,True,False,False,True,False
8,generateCardDeck,"[1, 2, 3, 4, 5]",student63,success,"[2, 3, 5, 1, 4]",False,False,False,False,True,False,False,True,False
9,generateCardDeck,"[1, 2, 3, 4, 5]",student64,success,"[2, 3]",True,False,True,False,False,True,True,True,False
13,fib,"[1, 2, 3]",student11,success,[5],True,False,False,True,False,True,True,True,False
14,fib,"[1, 2, 3]",student13,success,"[1, 2]",False,False,False,False,False,False,True,True,False
16,fib,"[1, 2, 3]",student2,success,"[2, 5]",True,False,False,True,False,False,True,True,False
17,fib,"[1, 2, 3]",student22,success,"[2, 5]",True,False,False,True,False,False,True,True,False
18,fib,"[1, 2, 3]",student37,success,"[1, 2, 4, 6]",False,False,False,False,False,False,True,True,False
20,fib,"[1, 2, 3]",student8,success,"[1, 2, 3]",False,False,False,False,True,False,False,True,False
21,pattern,"[1, 2, 3, 4, 5]",student17,success,"[3, 4]",False,False,False,False,False,True,True,True,False
22,pattern,"[1, 2, 3, 4, 5]",student25,success,"[1, 2, 3, 4, 5]",True,False,False,True,True,False,False,True,False
25,pattern,"[1, 2, 3, 4, 5]",student4,success,"[1, 2, 3, 4, 5]",True,False,False,True,True,False,False,True,False
26,pattern,"[1, 2, 3, 4, 5]",student41,success,"[2, 3, 4, 5, 1]",True,False,False,True,True,False,False,True,False
28,total_bill,"[1, 2, 3, 4, 5, 6, 7, 8]",student33,success,"[1, 2, 3, 4, 5, 6, 7, 8]",False,False,False,False,True,False,False,True,False
29,total_bill,"[1, 2, 3, 4, 5, 6, 7, 8]",student35,success,"[1, 2, 3, 4, 5, 6, 7, 8]",False,False,False,False,True,False,False,True,False
30,total_bill,"[1, 2, 3, 4, 5, 6, 7, 8]",student40,success,"[2, 4, 5, 6, 7, 8, 1]",False,False,False,False,False,False,True,True,False
31,total_bill,"[1, 2, 3, 4, 5, 6, 7, 8]",student44,success,"[2, 4, 5, 7]",False,False,False,False,False,True,True,True,False
32,total_bill,"[1, 2, 3, 4, 5, 6, 7, 8]",student50,success,"[1, 2, 4, 5, 6, 7, 3]",False,False,False,False,False,False,True,True,False
34,total_bill,"[1, 2, 3, 4, 5, 6, 7, 8]",student60,success,"[1, 2, 3, 6, 7, 8]",False,False,False,False,False,False,True,True,False
35,total_bill,"[1, 2, 3, 4, 5, 6, 7, 8]",student63,success,"[1, 2, 3, 4, 5, 6, 7, 8]",False,False,False,False,True,False,False,True,False
36,total_bill,"[1, 2, 3, 4, 5, 6, 7, 8]",student64,success,"[2, 4, 5, 6, 7]",False,False,False,False,False,False,True,True,False
38,total_bill,"[1, 2, 3, 4, 5, 6, 7, 8]",student75,success,"[8, 1, 5, 7]",False,False,False,False,False,True,True,True,False
39,total_bill,"[1, 2, 3, 4, 5, 6, 7, 8]",student79,success,"[1, 3, 4, 5, 6, 7, 2]",False,False,False,False,False,False,True,True,False
41,translate,"[1, 2, 3, 4, 5, 6, 7]",student50,success,"[1, 2, 4, 5, 3, 6, 7]",False,False,False,False,True,False,False,True,False
42,translate,"[1, 2, 3, 4, 5, 6, 7]",student59,success,"[1, 2, 4, 5, 6, 3, 7]",False,False,False,False,True,False,False,True,False
