,problem,username,cycle_list,is_success,cycle_num_edges,has_cycle,has_long_cycle,not_has_cycle,cycle_num_edits_with_missing_clues,cycle_num_rewrite_edits,cycle_num_trivial_edits,cycle_clues,cycle_edits,has_breakout_edge,breakout_edge_tags,has_0_breakout_edge,has_m_breakout_edge,has_a_breakout_edge,has_l_breakout_edge,has_d_breakout_edge,cycle_has_only_trivial_edits,cycle_has_only_rewrite_edits,has_substantial_edits,has_missing_clues,not_has_missing_clues
3,generateCardDeck,student40,"[(1, 1), (1, 1)]",True,2,True,False,False,0,1,0,"[{1, 2, 3, 4, 5}, {1, 2, 3, 4, 5}]","[['a3'], ['m3']]",True,['m3'],False,True,False,False,False,False,False,True,False,True
5,generateCardDeck,student50,"[(1, 1), (1, 1)]",True,2,True,False,False,0,2,0,"[{1, 2, 3, 4, 5}, {1, 2, 3, 4, 5}]","[['m3'], ['m3']]",True,[0],True,False,False,False,False,False,True,False,False,True
7,generateCardDeck,student60,"[(1, 6), (6, 1)]",True,2,True,False,False,2,1,0,"[{1, 2, 3, 4}, {1, 2, 3, 4}]","[['a3'], ['m3']]",True,['l3'],False,False,False,True,False,False,False,True,True,False
9,generateCardDeck,student64,"[(1, 3), (3, 1)]",True,2,True,False,False,2,1,0,"[{2, 3}, {2, 3}]","[['a3'], ['l3']]",True,[0],True,False,False,False,False,False,False,True,True,False
14,fib,student13,"[(9, 7), (7, 9), (9, 7), (7, 9)]",True,4,True,True,False,4,4,4,"[{1, 2}, {1, 2}, {1, 2}, {1, 2}]","[[0], [0], [0], [0]]",True,['a4'],False,False,True,False,False,True,True,False,True,False
16,fib,student2,"[(6, 6), (6, 6)]",True,2,True,False,False,2,2,0,"[{2, 5}, {2, 5}]","[['m2'], ['m2']]",True,['m5'],False,True,False,False,False,False,True,False,True,False
26,pattern,student41,"[(1, 1)]",True,1,True,False,False,1,1,0,"[{2, 3, 4, 5}]",[['m4']],True,['m4'],False,True,False,False,False,False,True,False,True,False
36,total_bill,student64,"[(9, 9)]",True,1,True,False,False,1,1,1,"[{2, 4, 5, 6}]",[[0]],True,['m4'],False,True,False,False,False,True,True,False,True,False
43,translate,student60,"[(8, 8)]",True,1,True,False,False,1,1,1,"[{1, 2, 4, 5}]",[[0]],True,['a6'],False,False,True,False,False,True,True,False,True,False
54,convert,student17,"[(42, 22), (22, 42)]",True,2,True,False,False,2,1,0,"[{2, 3, 4}, {2, 3, 4}]","[['a3'], ['m3']]",True,['m4'],False,True,False,False,False,False,False,True,True,False
55,convert,student21,"[(0, 40), (40, 34), (34, 0)]",True,3,True,False,False,3,3,2,"[{2, 3, 4, 5}, {2, 3, 4, 5}, {2, 3, 4, 5}]","[[0], [0], ['m4']]",True,['m4'],False,True,False,False,False,False,True,False,True,False
104,readingIceCream,student70,"[(3, 3)]",True,1,True,False,False,0,0,0,"[{1, 2, 3, 4, 5, 6, 7}]",[['a5']],True,['m5'],False,True,False,False,False,False,False,True,False,True
107,set_chars,student20,"[(9, 9)]",True,1,True,False,False,1,1,1,"[{2, 3}]",[[0]],True,['a5'],False,False,True,False,False,True,True,False,True,False
112,set_chars,student57,"[(5, 4), (4, 5)]",True,2,True,False,False,2,2,0,"[{1, 2, 3, 4}, {1, 2, 3, 4}]","[['m4'], ['l4']]",True,['a5'],False,False,True,False,False,False,True,False,True,False
115,find_multiples,student13,"[(4, 4)]",True,1,True,False,False,1,1,1,[{1}],[[0]],True,['a2'],False,False,True,False,False,True,True,False,True,False
120,find_multiples,student61,"[(4, 4)]",True,1,True,False,False,1,1,1,[{1}],[[0]],True,['a2'],False,False,True,False,False,True,True,False,True,False
128,print_time,student54,"[(10, 10)]",True,1,True,False,False,1,1,0,"[{2, 3, 4}]",[['m3']],True,"['m2', 'm3', 'a5']",False,False,True,False,False,False,True,False,True,False
129,remove_odd,student0,"[(2, 4), (4, 2)]",True,2,True,False,False,1,0,0,"[{1, 2, 4}, {1, 2, 3, 4}]","[['d3'], ['a3']]",True,['m3'],False,True,False,False,False,False,False,True,False,True
142,subtract_add,student29,"[(11, 11)]",True,1,True,False,False,0,0,0,"[{1, 2, 3, 4, 5}]",[['a4']],True,[0],True,False,False,False,False,False,False,True,False,True
146,subtract_add,student66,"[(13, 13)]",True,1,True,False,False,0,0,0,"[{1, 2, 3, 4, 5}]",[['a2']],True,[0],True,False,False,False,False,False,False,True,False,True
157,altText,student23,"[(5, 5), (5, 5)]",True,2,True,False,False,1,1,0,"[{1, 2, 4}, {1, 2, 3, 4}]","[['m2'], ['l2', 'a3']]",True,['m2'],False,True,False,False,False,False,False,True,False,True
158,altText,student35,"[(5, 5)]",True,1,True,False,False,0,1,0,"[{1, 2, 3, 4}]",[['m2']],True,['m2'],False,True,False,False,False,False,True,False,False,True
164,combine,student20,"[(5, 1), (1, 5)]",True,2,True,False,False,2,0,0,"[{1, 2}, {1}]","[['a2'], ['d2']]",True,['a2'],False,False,True,False,False,False,False,True,True,False
167,combine,student54,"[(5, 5)]",True,1,True,False,False,1,0,0,"[{1, 3}]",[['a3']],True,"['m1', 'a2']",False,False,True,False,False,False,False,True,True,False
173,topScores,student53,"[(10, 10)]",True,1,True,False,False,0,1,1,"[{1, 2, 3, 4, 5, 6}]",[[0]],True,"['l1', 'l4']",False,False,False,True,False,True,True,False,False,True
178,sort_physicists,student12,"[(2, 2), (2, 2)]",True,2,True,False,False,2,2,0,"[{1, 3, 4, 5, 6}, {1, 3, 4, 5, 6}]","[['m5'], ['m1']]",True,['m5'],False,True,False,False,False,False,True,False,True,False
184,sort_physicists,student57,"[(0, 0)]",True,1,True,False,False,1,0,0,"[{1, 3, 4, 5, 6}]","[['a4', 'a6']]",True,[0],True,False,False,False,False,False,False,True,True,False
185,sort_physicists,student77,"[(0, 6), (6, 0)]",True,2,True,False,False,0,1,0,"[{1, 2, 3, 4, 5, 6}, {1, 2, 3, 4, 5, 6}]","[['a4'], ['m5']]",True,['m4'],False,True,False,False,False,False,False,True,False,True
186,reverseWords,student1,"[(5, 5)]",True,1,True,False,False,1,1,0,"[{1, 2, 3, 4}]",[['l2']],True,['m2'],False,True,False,False,False,False,True,False,True,False
193,planets_mass,student14,"[(7, 7)]",True,1,True,False,False,1,0,0,"[{3, 6}]",[['a6']],True,['m3'],False,True,False,False,False,False,False,True,True,False
195,planets_mass,student46,"[(16, 16)]",True,1,True,False,False,0,1,1,"[{1, 2, 3, 4, 5, 6}]",[[0]],True,['l1'],False,False,False,True,False,True,True,False,False,True
198,planets_mass,student55,"[(16, 15), (15, 16)]",True,2,True,False,False,1,0,0,"[{1, 4, 5, 6}, {1, 2, 3, 4, 5, 6}]","[['l1', 'd2', 'd3'], ['a2', 'a3', 'm1']]",True,"['m2', 'm3']",False,True,False,False,False,False,False,True,False,True
219,add_up,student7,"[(3, 3), (3, 3), (3, 3)]",True,3,True,False,False,3,3,3,"[{2, 3, 4, 5}, {2, 3, 4, 5}, {2, 3, 4, 5}]","[[0], [0], [0]]",True,"['d3', 'd2', 'd4', 'd5']",False,False,False,False,True,True,True,False,True,False
221,check_prime,student29,"[(2, 2)]",True,1,True,False,False,1,0,0,"[{1, 2, 3}]",[['a1']],True,[0],True,False,False,False,False,False,False,True,True,False
224,check_prime,student49,"[(2, 2)]",True,1,True,False,False,1,0,0,"[{1, 2, 3}]",[['a1']],True,['m1'],False,True,False,False,False,False,False,True,True,False
225,check_prime,student66,"[(3, 3), (3, 3)]",True,2,True,False,False,2,1,0,"[{1, 2, 3}, {1, 2, 3}]","[['a1'], ['m1']]",True,['m1'],False,True,False,False,False,False,False,True,True,False
228,check_prime,student70,"[(4, 4)]",True,1,True,False,False,1,0,0,"[{1, 3}]",[['a1']],True,['m1'],False,True,False,False,False,False,False,True,True,False
230,sortedBooks,student29,"[(6, 12), (12, 6)]",True,2,True,False,False,2,2,2,"[{2, 3, 6}, {2, 3, 6}]","[[0], [0]]",True,[0],True,False,False,False,False,True,True,False,True,False
236,sortedBooks,student68,"[(11, 11)]",True,1,True,False,False,1,1,0,"[{1, 2, 3, 6}]",[['m6']],True,"['a4', 'a5']",False,False,True,False,False,False,True,False,True,False
237,sortedBooks,student70,"[(11, 9), (9, 11)]",True,2,True,False,False,2,1,0,"[{1, 2, 3, 6}, {1, 2, 3, 6}]","[['a1'], ['m1']]",True,"['a4', 'a5']",False,False,True,False,False,False,False,True,True,False
241,percentWin,student17,"[(11, 11)]",True,1,True,False,False,1,1,0,"[{2, 3}]",[['m3']],True,['m3'],False,True,False,False,False,False,True,False,True,False
248,percentWin,student4,"[(14, 14)]",True,1,True,False,False,1,1,0,"[{2, 3, 4, 5, 6}]",[['m4']],True,['m4'],False,True,False,False,False,False,True,False,True,False
276,create_list,student36,"[(5, 5)]",True,1,True,False,False,1,1,1,"[{2, 3, 5}]",[[0]],True,['a4'],False,False,True,False,False,True,True,False,True,False
286,getSeason,student46,"[(8, 8)]",True,1,True,False,False,1,1,1,"[{1, 2}]",[[0]],True,['a3'],False,False,True,False,False,True,True,False,True,False
