,problem,username,cycle_list,is_success,cycle_num_edges,has_cycle,has_long_cycle,not_has_cycle,cycle_num_edits_with_missing_clues,cycle_num_rewrite_edits,cycle_num_trivial_edits,cycle_clues,cycle_edits,has_breakout_edge,breakout_edge_tags,has_0_breakout_edge,has_m_breakout_edge,has_a_breakout_edge,has_l_breakout_edge,has_d_breakout_edge,cycle_has_only_trivial_edits,cycle_has_only_rewrite_edits,has_substantial_edits,has_missing_clues,not_has_missing_clues
0,generateCardDeck,student23,"[(1, 1), (1, 1), (1, 1), (1, 1), (1, 1), (1, 1)]",False,6,True,True,False,6,6,3,"[{1, 2, 4}, {1, 2, 4}, {1, 2, 4}, {1, 2, 4}, {1, 2, 4}, {1, 2, 4}]","[[0], ['m2'], ['m2'], [0], [0], ['m2']]",False,[],False,False,False,False,False,False,True,False,True,False
2,generateCardDeck,student35,"[(3, 3)]",False,1,True,False,False,1,1,0,"[{1, 2, 4}]",[['m4']],True,['m4'],False,True,False,False,False,False,True,False,True,False
3,generateCardDeck,student40,"[(1, 1), (1, 1)]",True,2,True,False,False,0,1,0,"[{1, 2, 3, 4, 5}, {1, 2, 3, 4, 5}]","[['a3'], ['m3']]",True,['m3'],False,True,False,False,False,False,False,True,False,True
4,generateCardDeck,student44,"[(3, 2), (2, 3)]",False,2,True,False,False,2,2,2,"[{2, 4}, {2, 4}]","[[0], [0]]",False,[],False,False,False,False,False,True,True,False,True,False
5,generateCardDeck,student50,"[(1, 1), (1, 1)]",True,2,True,False,False,0,2,0,"[{1, 2, 3, 4, 5}, {1, 2, 3, 4, 5}]","[['m3'], ['m3']]",True,[0],True,False,False,False,False,False,True,False,False,True
6,generateCardDeck,student59,"[(3, 3), (3, 3), (3, 3), (3, 3)]",False,4,True,True,False,4,3,2,"[{1, 2, 5}, {1, 2, 3, 5}, {1, 2, 3, 5}, {1, 2, 3, 5}]","[[0], ['a3'], ['l3'], [0]]",False,[],False,False,False,False,False,False,False,True,True,False
7,generateCardDeck,student60,"[(1, 6), (6, 1)]",True,2,True,False,False,2,1,0,"[{1, 2, 3, 4}, {1, 2, 3, 4}]","[['a3'], ['m3']]",True,['l3'],False,False,False,True,False,False,False,True,True,False
9,generateCardDeck,student64,"[(1, 3), (3, 1)]",True,2,True,False,False,2,1,0,"[{2, 3}, {2, 3}]","[['a3'], ['l3']]",True,[0],True,False,False,False,False,False,False,True,True,False
10,generateCardDeck,student69,"[(1, 1)]",False,1,True,False,False,1,1,1,"[{1, 2}]",[[0]],True,[0],True,False,False,False,False,True,True,False,True,False
11,generateCardDeck,student75,"[(1, 5), (5, 1), (1, 5)]",False,3,True,False,False,3,3,3,"[{1, 2}, {1, 2}, {1, 2}]","[[0], [0], [0]]",False,[],False,False,False,False,False,True,True,False,True,False
12,generateCardDeck,student79,"[(1, 1), (1, 1)]",False,2,True,False,False,2,2,0,"[{1, 2, 3, 4}, {1, 2, 3, 4}]","[['m3'], ['m3']]",False,[],False,False,False,False,False,False,True,False,True,False
14,fib,student13,"[(9, 7), (7, 9), (9, 7), (7, 9)]",True,4,True,True,False,4,4,4,"[{1, 2}, {1, 2}, {1, 2}, {1, 2}]","[[0], [0], [0], [0]]",True,['a4'],False,False,True,False,False,True,True,False,True,False
15,fib,student16,"[(6, 6)]",False,1,True,False,False,1,0,0,"[{2, 5}]",[['a2']],False,[],False,False,False,False,False,False,False,True,True,False
16,fib,student2,"[(6, 6), (6, 6)]",True,2,True,False,False,2,2,0,"[{2, 5}, {2, 5}]","[['m2'], ['m2']]",True,['m5'],False,True,False,False,False,False,True,False,True,False
19,fib,student5,"[(6, 6), (6, 6)]",False,2,True,False,False,2,2,1,"[{2, 5}, {2, 5}]","[[0], ['m2']]",False,[],False,False,False,False,False,False,True,False,True,False
24,pattern,student3,"[(2, 9), (9, 5), (5, 2)]",False,3,True,False,False,2,1,0,"[{1, 2, 3, 4, 5}, {1, 4, 5}, {1, 4, 5}]","[['a2', 'a3'], ['d2', 'd3'], ['m4']]",True,[0],True,False,False,False,False,False,False,True,False,True
