,has_all_clues,problem,pass1,prompt
0,0,add_int,0.09500000000000001,3
1,1,add_int,0.315,2
2,0,add_up,0.07692307692307693,13
3,0,altText,0.0,3
4,1,altText,0.44333333333333336,3
5,0,assessVowels,0.0,1
6,1,assessVowels,0.7092857142857143,7
7,0,changeSection,0.351,5
8,1,changeSection,0.6174999999999999,4
9,0,check_prime,0.08785714285714286,7
10,0,combine,0.39999999999999997,3
11,1,combine,0.835,2
12,0,convert,0.0475,8
13,1,convert,0.015,1
14,0,create_list,0.0,1
15,1,create_list,0.5700000000000001,5
16,0,fib,0.5449999999999999,8
17,0,findHorizontals,0.04625,8
18,0,find_multiples,0.2866666666666667,6
19,1,find_multiples,0.9716666666666667,3
20,1,generateCardDeck,0.583,5
21,0,generateCardDeck,0.03875,8
22,0,getSeason,0.08857142857142856,7
23,1,getSeason,0.9075,2
24,0,increaseScore,0.648,5
25,0,laugh,0.030625,8
26,1,pattern,0.2833333333333333,3
27,0,pattern,0.0033333333333333335,3
28,1,percentWin,0.625,6
29,0,percentWin,0.393,5
30,1,planets_mass,0.061666666666666675,3
31,0,planets_mass,0.086,5
32,1,print_time,0.7541666666666668,6
33,1,readingIceCream,0.9433333333333334,3
34,0,readingIceCream,0.20625,8
35,0,remove_odd,0.0,8
36,1,remove_odd,0.13166666666666668,3
37,1,reverseWords,0.496,5
38,0,reverseWords,0.2675,2
39,0,set_chars,0.0,3
40,1,set_chars,0.5425,4
41,1,sortBySuccessRate,0.588,5
42,0,sortBySuccessRate,0.178125,8
43,0,sort_physicists,0.27416666666666667,6
44,1,sort_physicists,0.4575,2
45,1,sortedBooks,0.44800000000000006,5
46,0,sortedBooks,0.0,5
47,0,student_grades,0.03333333333333333,6
48,1,subtract_add,0.738,5
49,0,subtract_add,0.3333333333333333,3
50,1,times_with,0.32749999999999996,2
51,0,times_with,0.061111111111111116,9
52,0,topScores,0.0,7
53,1,topScores,0.3333333333333333,3
54,0,total_bill,0.35,10
55,1,total_bill,0.6666666666666666,3
56,0,translate,0.015,4
57,1,translate,0.7733333333333333,3
