,problem,success_clues,username,state,clues,has_final_rewrite,has_final_trivial,has_final_l,has_final_m,has_all_clues,has_leq_half_clues,is_missing_clues,is_success,is_fail
0,generateCardDeck,"[1, 2, 3, 4, 5]",student23,fail,"[1, 2, 4]",True,False,False,True,False,False,True,False,True
1,generateCardDeck,"[1, 2, 3, 4, 5]",student33,success,"[1, 2, 3, 3, 5, 4]",False,False,False,False,True,False,False,True,False
2,generateCardDeck,"[1, 2, 3, 4, 5]",student35,fail,"[1, 2, 4]",True,False,False,True,False,False,True,False,True
3,generateCardDeck,"[1, 2, 3, 4, 5]",student40,fail,"[1, 2, 3, 4, 5]",True,False,False,True,True,False,False,False,True
4,generateCardDeck,"[1, 2, 3, 4, 5]",student44,fail,"[2, 4]",True,True,False,False,False,True,True,False,True
5,generateCardDeck,"[1, 2, 3, 4, 5]",student50,success,"[1, 2, 3, 4, 5]",True,True,False,False,True,False,False,True,False
6,generateCardDeck,"[1, 2, 3, 4, 5]",student59,fail,"[1, 2, 3, 5]",True,True,False,False,False,False,True,False,True
7,generateCardDeck,"[1, 2, 3, 4, 5]",student60,fail,"[1, 2, 3, 4, 5]",True,False,True,False,True,False,False,False,True
8,generateCardDeck,"[1, 2, 3, 4, 5]",student63,fail,"[2, 3, 5, 1, 4]",False,False,False,False,True,False,False,False,True
9,generateCardDeck,"[1, 2, 3, 4, 5]",student64,success,"[2, 3]",True,False,True,False,False,True,True,True,False
10,generateCardDeck,"[1, 2, 3, 4, 5]",student69,fail,"[1, 2]",True,True,False,False,False,True,True,False,True
11,generateCardDeck,"[1, 2, 3, 4, 5]",student75,fail,"[1, 2]",True,True,False,False,False,True,True,False,True
12,generateCardDeck,"[1, 2, 3, 4, 5]",student79,fail,"[1, 2, 3, 4]",True,False,False,True,False,False,True,False,True
13,fib,"[1, 2, 3, 4, 5, 6]",student8,fail,"[1, 2, 3]",False,False,False,False,False,True,True,False,True
14,fib,"[1, 2, 3, 4, 5, 6]",student11,fail,[5],True,False,False,True,False,True,True,False,True
15,fib,"[1, 2, 3, 4, 5, 6]",student13,fail,"[1, 2]",False,False,False,False,False,True,True,False,True
16,fib,"[1, 2, 3, 4, 5, 6]",student16,fail,"[2, 5]",False,False,False,False,False,True,True,False,True
17,fib,"[1, 2, 3, 4, 5, 6]",student22,success,"[2, 5]",True,False,False,True,False,True,True,True,False
18,fib,"[1, 2, 3, 4, 5, 6]",student37,success,"[1, 2, 4, 6]",False,False,False,False,False,False,True,True,False
19,fib,"[1, 2, 3, 4, 5, 6]",student2,success,"[2, 5]",True,False,False,True,False,True,True,True,False
20,fib,"[1, 2, 3, 4, 5, 6]",student5,fail,"[2, 5]",True,False,False,True,False,True,True,False,True
21,pattern,"[1, 2, 3, 4, 5]",student3,fail,"[1, 4, 5]",True,True,False,False,False,False,True,False,True
22,pattern,"[1, 2, 3, 4, 5]",student4,success,"[1, 2, 3, 4, 5]",True,False,False,True,True,False,False,True,False
23,pattern,"[1, 2, 3, 4, 5]",student17,fail,"[3, 4]",False,False,False,False,False,True,True,False,True
24,pattern,"[1, 2, 3, 4, 5]",student25,success,"[1, 2, 3, 4, 5]",True,False,False,True,True,False,False,True,False
25,pattern,"[1, 2, 3, 4, 5]",student26,fail,"[3, 4]",True,True,False,False,False,True,True,False,True
26,pattern,"[1, 2, 3, 4, 5]",student41,fail,"[2, 3, 4, 5, 1]",True,False,False,True,True,False,False,False,True
27,total_bill,"[1, 2, 3, 4, 5, 6, 7, 8]",student23,fail,"[1, 2, 3, 4, 6, 8]",False,False,False,False,False,False,True,False,True
