,problem,success_clues,username,state,clues,has_final_rewrite,has_final_trivial,has_final_l,has_final_m,has_all_clues,has_leq_half_clues,is_missing_clues,is_success,is_fail
1,generateCardDeck,"[1, 2, 3, 4, 5]",student33,success,"[1, 2, 3, 3, 5, 4]",False,False,False,False,True,False,False,True,False
5,generateCardDeck,"[1, 2, 3, 4, 5]",student50,success,"[1, 2, 3, 4, 5]",True,True,False,False,True,False,False,True,False
9,generateCardDeck,"[1, 2, 3, 4, 5]",student64,success,"[2, 3]",True,False,True,False,False,True,True,True,False
17,fib,"[1, 2, 3, 4, 5, 6]",student22,success,"[2, 5]",True,False,False,True,False,True,True,True,False
18,fib,"[1, 2, 3, 4, 5, 6]",student37,success,"[1, 2, 4, 6]",False,False,False,False,False,False,True,True,False
19,fib,"[1, 2, 3, 4, 5, 6]",student2,success,"[2, 5]",True,False,False,True,False,True,True,True,False
22,pattern,"[1, 2, 3, 4, 5]",student4,success,"[1, 2, 3, 4, 5]",True,False,False,True,True,False,False,True,False
24,pattern,"[1, 2, 3, 4, 5]",student25,success,"[1, 2, 3, 4, 5]",True,False,False,True,True,False,False,True,False
28,total_bill,"[1, 2, 3, 4, 5, 6, 7, 8]",student33,success,"[1, 2, 3, 4, 5, 6, 7, 8]",False,False,False,False,True,False,False,True,False
30,total_bill,"[1, 2, 3, 4, 5, 6, 7, 8]",student40,success,"[2, 4, 5, 6, 7, 8, 1]",False,False,False,False,False,False,True,True,False
32,total_bill,"[1, 2, 3, 4, 5, 6, 7, 8]",student50,success,"[1, 2, 4, 5, 6, 7, 3]",False,False,False,False,False,False,True,True,False
34,total_bill,"[1, 2, 3, 4, 5, 6, 7, 8]",student60,success,"[1, 2, 3, 6, 7, 8]",False,False,False,False,False,False,True,True,False
35,total_bill,"[1, 2, 3, 4, 5, 6, 7, 8]",student63,success,"[1, 2, 3, 4, 5, 6, 7, 8]",False,False,False,False,True,False,False,True,False
39,total_bill,"[1, 2, 3, 4, 5, 6, 7, 8]",student79,success,"[1, 3, 4, 5, 6, 7, 2]",False,False,False,False,False,False,True,True,False
41,translate,"[1, 2, 3, 4, 5, 6, 7]",student50,success,"[1, 2, 4, 5, 3, 6, 7]",False,False,False,False,True,False,False,True,False
42,translate,"[1, 2, 3, 4, 5, 6, 7]",student59,success,"[1, 2, 4, 5, 6, 3, 7]",False,False,False,False,True,False,False,True,False
43,translate,"[1, 2, 3, 4, 5, 6, 7]",student60,success,"[1, 2, 4, 5, 6, 3, 7]",False,False,False,False,True,False,False,True,False
64,sortBySuccessRate,"[1, 2, 3, 4, 5, 6]",student33,success,"[1, 2, 3, 4, 5, 6]",False,False,False,False,True,False,False,True,False
66,sortBySuccessRate,"[1, 2, 3, 4, 5, 6]",student40,success,"[1, 2, 3, 4, 5, 6]",False,False,False,False,True,False,False,True,False
71,sortBySuccessRate,"[1, 2, 3, 4, 5, 6]",student63,success,"[1, 2, 3, 4, 5, 6]",False,False,False,False,True,False,False,True,False
73,sortBySuccessRate,"[1, 2, 3, 4, 5, 6]",student69,success,"[1, 2, 3, 4, 6]",True,True,False,False,False,False,True,True,False
82,laugh,"[1, 2, 3, 4, 5, 6, 7]",student37,success,"[1, 2, 3, 4, 5, 6]",False,False,False,False,False,False,True,True,False
83,laugh,"[1, 2, 3, 4, 5, 6, 7]",student72,success,"[1, 2, 3, 5, 6]",False,False,False,False,False,False,True,True,False
90,times_with,"[1, 2, 3, 4, 5]",student63,success,"[1, 2, 3, 4, 5]",True,False,False,True,True,False,False,True,False
95,readingIceCream,"[1, 2, 3, 4, 5, 6, 7]",student27,success,"[1, 2, 3, 4, 5, 6, 7]",False,False,False,False,True,False,False,True,False
100,readingIceCream,"[1, 2, 3, 4, 5, 6, 7]",student62,success,"[2, 3, 5, 6, 7]",False,False,False,False,False,False,True,True,False
101,readingIceCream,"[1, 2, 3, 4, 5, 6, 7]",student66,success,"[2, 4, 5, 6, 7]",False,False,False,False,False,False,True,True,False
103,readingIceCream,"[1, 2, 3, 4, 5, 6, 7]",student68,success,"[1, 2, 3, 4, 5, 6, 7]",False,False,False,False,True,False,False,True,False
106,set_chars,"[1, 2, 3, 4, 5]",student19,success,"[1, 2, 3, 5, 4]",False,False,False,False,True,False,False,True,False
116,find_multiples,"[1, 2]",student11,success,[],True,True,False,False,False,True,True,True,False
117,find_multiples,"[1, 2]",student13,success,"[1, 2]",False,False,False,False,True,False,False,True,False
120,find_multiples,"[1, 2]",student61,success,"[1, 2]",False,False,False,False,True,False,False,True,False
121,find_multiples,"[1, 2]",student72,success,"[1, 2]",False,False,False,False,True,False,False,True,False
122,find_multiples,"[1, 2]",student74,success,[2],False,False,False,False,False,True,True,True,False
123,print_time,"[1, 2, 3, 4, 5]",student12,success,"[2, 3, 4, 5, 1]",False,False,False,False,True,False,False,True,False
124,print_time,"[1, 2, 3, 4, 5]",student36,success,"[2, 3, 4, 5, 1]",True,False,False,True,True,False,False,True,False
125,print_time,"[1, 2, 3, 4, 5]",student38,success,"[2, 3, 4, 5, 1]",True,False,False,True,True,False,False,True,False
126,print_time,"[1, 2, 3, 4, 5]",student42,success,"[2, 3, 4, 5, 1]",True,False,False,True,True,False,False,True,False
127,print_time,"[1, 2, 3, 4, 5]",student43,success,"[2, 3, 4, 5, 1]",True,True,False,False,True,False,False,True,False
128,print_time,"[1, 2, 3, 4, 5]",student54,success,"[2, 3, 4, 5, 1]",True,True,False,False,True,False,False,True,False
141,subtract_add,"[1, 2, 3, 4, 5]",student68,success,"[1, 2, 3, 4, 5]",True,True,False,False,True,False,False,True,False
142,subtract_add,"[1, 2, 3, 4, 5]",student27,success,"[1, 2, 3, 4, 5]",False,False,False,False,True,False,False,True,False
145,subtract_add,"[1, 2, 3, 4, 5]",student49,success,"[1, 2, 3, 4, 5]",False,False,False,False,True,False,False,True,False
146,subtract_add,"[1, 2, 3, 4, 5]",student62,success,"[2, 3, 4, 5]",True,True,False,False,False,False,True,True,False
147,subtract_add,"[1, 2, 3, 4, 5]",student66,success,"[1, 2, 3, 4, 5]",True,True,False,False,True,False,False,True,False
161,altText,"[1, 2, 3, 4]",student63,success,"[1, 2, 3, 4]",True,True,False,False,True,False,False,True,False
163,combine,"[1, 2, 3]",student19,success,"[1, 2, 3]",True,False,False,True,True,False,False,True,False
164,combine,"[1, 2, 3]",student20,success,"[1, 2]",False,False,False,False,False,False,True,True,False
165,combine,"[1, 2, 3]",student42,success,"[1, 2, 3]",True,False,False,True,True,False,False,True,False
173,topScores,"[1, 2, 3, 4, 5, 6]",student31,success,"[1, 2, 3, 4, 5, 6]",False,False,False,False,True,False,False,True,False
180,sort_physicists,"[1, 2, 3, 4, 5, 6]",student36,success,"[1, 2, 3, 4, 5, 6]",True,False,False,True,True,False,False,True,False
183,sort_physicists,"[1, 2, 3, 4, 5, 6]",student54,success,"[1, 3, 4, 6]",False,False,False,False,False,False,True,True,False
185,sort_physicists,"[1, 2, 3, 4, 5, 6]",student77,success,"[1, 2, 3, 4, 5, 6]",True,False,False,True,True,False,False,True,False
186,reverseWords,"[1, 2, 3, 4, 5]",student1,success,"[1, 2, 3, 4, 5]",True,False,False,True,True,False,False,True,False
187,reverseWords,"[1, 2, 3, 4, 5]",student6,success,"[1, 2, 3, 4, 5]",False,False,False,False,True,False,False,True,False
189,reverseWords,"[1, 2, 3, 4, 5]",student39,success,"[1, 2, 3, 4]",True,False,False,True,False,False,True,True,False
193,planets_mass,"[1, 2, 3, 4, 5, 6]",student14,success,"[3, 6]",True,False,False,True,False,True,True,True,False
201,increaseScore,"[1, 2, 3, 4, 5, 6]",student23,success,"[1, 3, 4, 5, 6]",True,True,False,False,False,False,True,True,False
202,increaseScore,"[1, 2, 3, 4, 5, 6]",student33,success,"[1, 2, 3, 4, 6]",True,False,False,True,False,False,True,True,False
203,increaseScore,"[1, 2, 3, 4, 5, 6]",student35,success,"[1, 2, 3, 4]",True,False,False,True,False,False,True,True,False
204,increaseScore,"[1, 2, 3, 4, 5, 6]",student50,success,"[1, 2, 3]",False,False,False,False,False,True,True,True,False
205,increaseScore,"[1, 2, 3, 4, 5, 6]",student59,success,"[1, 3, 4, 5, 6]",False,False,False,False,False,False,True,True,False
207,add_up,"[1, 2, 3, 4, 5, 6]",student7,success,"[1, 2, 3, 4, 5]",False,False,False,False,False,False,True,True,False
236,sortedBooks,"[1, 2, 3, 4, 5, 6]",student68,success,"[1, 2, 3, 4, 5, 6]",False,False,False,False,True,False,False,True,False
237,sortedBooks,"[1, 2, 3, 4, 5, 6]",student70,success,"[1, 2, 3, 4, 5, 6]",False,False,False,False,True,False,False,True,False
